root_id,analysis_body_ids,analysis_instances,analysis_hemispheres,analysis_neuropils,primary_flywire_name,comparison_name,recommended_match_group,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,user_tags,flow,super_class,cell_class,cell_sub_class,morphology_group,side,top_nt,top_nt_conf,known_nt,known_nt_source
720575940614756589,7205759406147565891;7205759406147565892,ALBN1_L;ALBN1_R,L;R,AL_L;AL_R,ALBN1,ALBN1,ALBN1,ALBN1,ALBN1,AL local neuron;ALBN1;ALLN,,ALBN1,"AL local neuron,ALLN",intrinsic,central,ALLN,,,right,gaba,0.3523882150377924,,
720575940628023685,7205759406280236851;7205759406280236852,ALBN1_L;ALBN1_R,L;R,AL_L;AL_R,ALBN1,ALBN1,ALBN1,ALBN1,ALBN1,AL local neuron;ALBN1;ALLN,,ALBN1,"AL local neuron,ALLN",intrinsic,central,ALLN,,,left,glutamate,0.44697194399354,,
720575940606045314,7205759406060453141,CB1013_L,L,AL_L,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;glutamate;right,CB1013,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.3651793821959072,,
720575940616953467,7205759406169534672,CB1013_R,R,AL_R,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;glutamate;left,CB1013,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__1,right,glutamate,0.4515141593006758,,
720575940622792423,7205759406227924231;7205759406227924232,CB1013_L;CB1013_R,L;R,AL_L;AL_R,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;glutamate;left,CB1013,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__1,right,glutamate,0.461489227049995,,
720575940623437838,7205759406234378381;7205759406234378382,CB1013_L;CB1013_R,L;R,AL_L;AL_R,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;glutamate;left,CB1013,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__1,right,glutamate,0.3692908420814844,,
720575940629942343,7205759406299423431,CB1013_L,L,AL_L,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;right,CB1013,,"AL local neuron,ALLN;ALv2; right",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.4049187502502178,,
720575940637845934,7205759406378459341;7205759406378459342,CB1013_L;CB1013_R,L;R,AL_L;AL_R,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;glutamate;right,CB1013,,"AL local neuron,ALLN;ALv2; right; glutamate",intrinsic,central,ALLN,,ALv2__1,left,glutamate,0.3902311720489352,,
720575940638559440,7205759406385594401;7205759406385594402,CB1013_L;CB1013_R,L;R,AL_L;AL_R,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;left,CB1013,,"AL local neuron,ALLN;ALv2; left",intrinsic,central,ALLN,,ALv2__1,right,glutamate,0.4914966757386111,,
720575940620917707,,,,,CB1048,CB1048,CB1048,,,AL local neuron;ALLN;ALv2;CB1048;glutamate;left,CB1048,,"AL local neuron,ALLN;ALv2; left; glutamate",intrinsic,central,ALLN,,ALv2__0,right,glutamate,0.5587500621047525,,
