source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,neuropil,orn_synapses_in_hemisphere,pn_synapses_in_hemisphere,all_output_synapses_in_hemisphere,primary_flywire_name,comparison_name,recommended_match_group,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,top_nt,top_nt_conf,known_nt,known_nt_source,comparison_LN_class
720575940641773472,7205759406417734721,v2LN39a_L,v2LN39a,L,AL_L,5,531,2175,v2LN39a,v2LN39a,v2LN39a,,,AL local neuron;ALLN;ALv2;right;v2LN39a,v2LN39a,,glutamate,0.5832123681162692,,,v2LN39a
720575940606045314,7205759406060453141,CB1013_L,CB1013,L,AL_L,11,57,731,CB1013,CB1013,CB1013,,,AL local neuron;ALLN;ALv2;CB1013;glutamate;right,CB1013,,glutamate,0.3651793821959072,,,CB1013
720575940632007983,7205759406320079831,LN60b_L,LN60b,L,AL_L,96,526,1393,LN60b,LN60b,LN60b,,,AL local neuron;ALLN;LN60b,LN60b,,gaba,0.6556733948008031,,,LN60b
720575940632007983,7205759406320079832,LN60b_R,LN60b,R,AL_R,702,2508,6410,LN60b,LN60b,LN60b,,,AL local neuron;ALLN;LN60b,LN60b,,gaba,0.6556733948008031,,,LN60b
720575940626030776,7205759406260307762,vLN28_vLN29_R,vLN28_vLN29,R,AL_R,456,314,2282,"vLN28,vLN29",vLN28,vLN28;vLN29,vLN28;vLN29,vLN28;vLN29,AL local neuron;ALLN;vLN28;vLN29,,"vLN28,vLN29",glutamate,0.5875315034053549,,,vLN28;vLN29
720575940605883569,7205759406058835692,lLN2P_b_R,lLN2P_b,R,AL_R,945,1127,6998,lLN2P_b,lLN2P_b,lLN2P,lLN2P_b,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_b;left,,lLN2P_b,gaba,0.3161370422224327,"gaba, myoinhibitory peptide","Sizemore et al., 2023",lLN2P
720575940630407388,7205759406304073882,lLN2T_b_R,lLN2T_b,R,AL_R,6646,2878,15993,lLN2T_b,lLN2T_b,lLN2T,lLN2T_b,lLN2T,AL local neuron;ALLN;lLN2T_b,,lLN2T_b,serotonin,0.3452087675311435,acetylcholine,"Shang et al., 2007",lLN2T
720575940629589292,7205759406295892922,v2LN49_R,v2LN49,R,AL_R,5,309,1534,v2LN49,v2LN49,v2LN49,v2LN49,v2LN49,AL local neuron;ALLN;ALv1;glutamate;left;v2LN49,,v2LN49,glutamate,0.4039072043871284,,,v2LN49
720575940615513086,7205759406155130862,lLN2P_c_R,lLN2P_c,R,AL_R,381,2159,7684,lLN2P_c,lLN2P_c,lLN2P,lLN2P_c,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_c;left,,lLN2P_c,gaba,0.5209322725851425,,,lLN2P
720575940623650823,7205759406236508232,lLN2P_b_R,lLN2P_b,R,AL_R,1128,1443,8442,lLN2P_b,lLN2P_b,lLN2P,lLN2P_b,lLN2P,AL local neuron;ALLN;ALl1_dorsal;lLN2P_b;left,,lLN2P_b,gaba,0.3075270757937074,"gaba, myoinhibitory peptide","Sizemore et al., 2023",lLN2P
