level,source_root_id,n_output_synapses,hemispheres,top1_nt,top1_probability,top2_nt,top2_probability,top3_nt,top3_probability,mean_probability_acetylcholine,mean_probability_gaba,mean_probability_glutamate,mean_probability_octopamine,mean_probability_serotonin,mean_probability_dopamine,primary_flywire_name,comparison_name,recommended_match_group,cell_type,hemibrain_type,all_names,top_nt,top_nt_conf,known_nt,known_nt_source
root,720575940604008160,1377,R,gaba,0.4842032283112264,acetylcholine,0.2665311588791582,glutamate,0.1255818003325488,0.2665311588791582,0.4842032283112264,0.1255818003325488,0.0023507539820963,0.034252137557818,0.0870809202389389,CB1686,CB1686,CB1686,CB1686,,AL local neuron;ALLN;CB1686,gaba,0.5018128082111661,,
root,720575940604568521,1567,R,gaba,0.5386403520101226,acetylcholine,0.3295628483330058,glutamate,0.0649470107210006,0.3295628483330058,0.5386403520101226,0.0649470107210006,0.0008415618705031,0.0404860160677673,0.0255222134656128,lLN13,lLN13,lLN13,,lLN13,AL local neuron;ALLN;lLN13,gaba,0.5390336474688124,,
root,720575940604662700,763,L;R,acetylcholine,0.29014614617801493,glutamate,0.25173156535071695,serotonin,0.2097493241323157,0.29014614617801493,0.17016582550518367,0.25173156535071695,0.01587147683116032,0.2097493241323157,0.06233566445426228,CB1668,CB1668,CB1668,CB1668,,AL local neuron;ALLN;ALv2;CB1668;acetylcholine;left,acetylcholine,0.3285957297897379,,
root,720575940605078560,2260,L;R,glutamate,0.413886418091035,acetylcholine,0.2514587121499142,gaba,0.21332524342664866,0.2514587121499142,0.21332524342664866,0.413886418091035,0.0033755788218261256,0.060436331440502235,0.057517718862059565,v2LNX01,v2LNX01,v2LNX01,v2LNX01,,AL local neuron;ALLN;ALv2;glutamate;left;v2LNX01,glutamate,0.4560799157174111,,
root,720575940605101758,946,L;R,glutamate,0.3913424220956479,acetylcholine,0.22818104169084827,gaba,0.18012678828048764,0.22818104169084827,0.18012678828048764,0.3913424220956479,0.006264499683716295,0.08362691299235786,0.1104583342883728,CB1668,CB1668,CB1668,CB1668,,AL local neuron;ALLN;ALv2;CB1668;glutamate;right,glutamate,0.4332517011015527,,
root,720575940605305777,1435,R,gaba,0.4872876562945794,acetylcholine,0.2968578500911782,glutamate,0.0775606835732548,0.2968578500911782,0.4872876562945794,0.0775606835732548,0.0011155984189397,0.0632375579039098,0.0739406539693582,CB3202,CB3202,CB3202,CB3202,,AL local neuron;ALLN;CB3202,gaba,0.5002870071495064,,
root,720575940605758142,19490,R,gaba,0.3414161115289867,serotonin,0.2850248820772923,acetylcholine,0.1753565855111356,0.1753565855111356,0.3414161115289867,0.0478455475969519,0.0032691576104923,0.2850248820772923,0.1470877161677241,lLN2F_a,lLN2F_a,lLN2F,,lLN2F_a,AL local neuron;ALLN;ALl1_dorsal;lLN2F_a;left,gaba,0.3576820098500197,,
root,720575940605883569,6998,R,gaba,0.2868494011628066,acetylcholine,0.25715137772518,serotonin,0.2566034839090873,0.25715137772518,0.2868494011628066,0.1291189070620829,0.0032974234551816,0.2566034839090873,0.0669794080577405,lLN2P_b,lLN2P_b,lLN2P,,lLN2P_b,AL local neuron;ALLN;ALl1_dorsal;lLN2P_b;left,gaba,0.3161370422224327,"gaba, myoinhibitory peptide","Sizemore et al., 2023"
root,720575940606045314,1127,L;R,glutamate,0.3355152365801693,acetylcholine,0.255934619077536,gaba,0.199383060519872,0.255934619077536,0.199383060519872,0.3355152365801693,0.005411288972336919,0.0840244835314806,0.1197313111526274,CB1013,CB1013,CB1013,CB1013,,AL local neuron;ALLN;ALv2;CB1013;glutamate;right,glutamate,0.3651793821959072,,
root,720575940606056905,10932,L,dopamine,0.3033602968906638,serotonin,0.276360146834856,gaba,0.1981708497954203,0.1607721397133064,0.1981708497954203,0.0576279003827876,0.0037086664254753,0.276360146834856,0.3033602968906638,lLN1_bc,lLN1_b,lLN1,lLN1_bc,"lLN1_b,lLN1_c",AL local neuron;ALLN;ALl1_dorsal;lLN1_b;lLN1_bc;lLN1_c;right,dopamine,0.3079834313980709,,
root,720575940606267659,1715,L,glutamate,0.3826525867506524,acetylcholine,0.234827611030488,gaba,0.2057419017872517,0.234827611030488,0.2057419017872517,0.3826525867506524,0.0051874950792328,0.0790502047362898,0.0925401998059035,v2LN40_2,v2LN40_2,v2LN40_2,v2LN40_2,,AL local neuron;ALLN;ALv2;glutamate;right;v2LN40_2,glutamate,0.4322819586636843,,
root,720575940606385440,6483,R,gaba,0.4591867128132125,acetylcholine,0.3209503854819378,serotonin,0.09998510858947518,0.3209503854819378,0.4591867128132125,0.0483545661873342,0.0090203907458631,0.09998510858947518,0.0625028380906353,lLN10,lLN10,lLN10,,lLN10,AL local neuron;ALLN;lLN10,gaba,0.4932375697971186,,
root,720575940606705073,2056,L;R,acetylcholine,0.34450795614378854,glutamate,0.23587345194451906,serotonin,0.20525858844627262,0.34450795614378854,0.14632490323723907,0.23587345194451906,0.00325041240547828,0.20525858844627262,0.06478468689634703,CB3633,CB3633,CB3633,CB3633,,AL local neuron;ALLN;ALv2;CB3633;acetylcholine;right,acetylcholine,0.3546095756892704,,
root,720575940606722249,12241,R,serotonin,0.3306387755467436,dopamine,0.20704376833740576,gaba,0.1853329480315932,0.1361983677360189,0.1853329480315932,0.1392364362254287,0.0015497042732816,0.3306387755467436,0.20704376833740576,lLN2X03,lLN2T_a,lLN2T,lLN2X03,lLN2T_a,AL local neuron;ALLN;lLN2T_a;lLN2X03,serotonin,0.3180605876955724,acetylcholine,"Shang et al., 2007"
root,720575940606745266,1448,L,gaba,0.4222870364333577,acetylcholine,0.2785950531856768,dopamine,0.1316480228022798,0.2785950531856768,0.4222870364333577,0.0950569685328648,0.0047853784313024,0.0676275399237774,0.1316480228022798,CB1473,CB1473,CB1473,CB1473,,AL local neuron;ALLN;CB1473,gaba,0.4412975512084807,,
root,720575940606751922,6999,L,acetylcholine,0.3855450471371468,serotonin,0.20745101616994,gaba,0.204958238713795,0.3855450471371468,0.204958238713795,0.0248608324583698,0.0031576181795398,0.20745101616994,0.1740272481873371,lLN2X12,lLN2X12,lLN2X12,lLN2X12,,AL local neuron;ALLN;ALl1_dorsal;lLN2X12;right,acetylcholine,0.4067475897228651,,
root,720575940606756785,894,L;R,glutamate,0.6108333345124731,gaba,0.18113208421694243,acetylcholine,0.10464778836720483,0.10464778836720483,0.18113208421694243,0.6108333345124731,0.001705199236758915,0.07181723319442608,0.029864361073135174,v2LN46a,v2LN46,v2LN46,v2LN46a,v2LN46,AL local neuron;ALLN;ALv2;glutamate;left;v2LN46;v2LN46a,glutamate,0.6938454101721945,,
