combined_LN_type,broad_LN_group,n_ln_body_ids,source_LN_types,source_LN_instances,orn_input_total,pn_output_weight_total,mean_pn_output_weight_total,median_pn_output_weight_total,mean_contra_orn_preference_weighted,median_contra_orn_preference_weighted,mean_sum_pn_output_percent,median_sum_pn_output_percent,mean_max_glomerulus_pn_output_percent,mean_pn_weighted_contra_orn_preference,mean_body_convergence_score,sum_body_convergence_score,type_score_rank
l2LN18,l2LN,1,l2LN18,l2LN18_R,1284.0,2046.0,2046.0,2046.0,0.454828660436137,0.454828660436137,35.6383905242989,35.6383905242989,5.434593276432677,0.2871435230890294,3.4676731012665054,3.4676731012665054,4
lLN11,other lLN,3,lLN11,lLN11_R,114.0,612.0,204.0,235.0,0.0624265179959798,0.0909090909090909,61.00296079920017,66.19718309859155,19.358712909152604,-0.146534697318689,0.2369891452967063,0.710967435890119,14
lLN12a,other lLN,3,lLN12a,lLN12a_R,113.0,938.0,312.6666666666667,299.0,-0.025865126412322,-0.1176470588235294,80.55377007018619,74.5635910224439,18.797588229329023,-0.2118376493376493,0.5323530309679121,1.5970590929037365,13
lLN12b,other lLN,1,lLN12b,lLN12b_R,30.0,366.0,366.0,366.0,0.0666666666666666,0.0666666666666666,65.12455516014235,65.12455516014235,18.505338078291818,0.2383241758241758,0.2362144739221828,0.2362144739221828,15
lLN14,other lLN,2,lLN14,lLN14_R,64.0,155.0,77.5,77.5,-0.6468253968253967,-0.6468253968253967,54.657629475147715,54.657629475147715,29.763146134366153,-1.0,0.0,0.0,28
lLN16a,other lLN,2,lLN16a,lLN16a_R,68.0,145.0,72.5,72.5,-0.8541666666666667,-0.8541666666666667,63.59649122807018,63.59649122807018,55.263157894736835,-0.4357142857142857,0.0,0.0,30
lLN16b,other lLN,4,lLN16b,lLN16b_R,139.0,415.0,103.75,87.5,0.5172443303380403,0.6157894736842104,68.37718266249668,64.56490883284202,56.11626558173555,0.4690065712622104,1.5815539879881682,6.326215951952673,8
lLN17,other lLN,2,lLN17,lLN17_R,90.0,642.0,321.0,321.0,-0.3650793650793651,-0.3650793650793651,66.8481482294571,66.8481482294571,30.46102171192729,-0.8828150184886698,0.0,0.0,31
lLN2R,lLN2R,5,lLN2R_a;lLN2R_b,lLN2R_a(Regional)_R;lLN2R_b(Regional)_R,2558.0,2693.0,538.6,553.0,0.3373191349086436,0.4256410256410256,27.801013400657887,20.000000000000004,7.380144866429896,0.2650270005727783,2.3043635131845313,11.521817565922657,6
lLN2S,lLN2S,6,lLN2S,lLN2S(Star)_R,5305.0,6631.0,1105.1666666666667,1180.5,0.582079669085152,0.5780009526833916,27.02168857639811,26.57885822323565,5.389019632973007,0.4715018206712946,4.068337807756599,24.41002684653959,2
lLN7,other lLN,1,lLN7,lLN7_R,72.0,38.0,38.0,38.0,-0.3611111111111111,-0.3611111111111111,5.873261205564143,5.873261205564143,2.472952086553323,0.1644444444444444,0.0,0.0,32
v2LN35,v2LN3,3,v2LN35,v2LN35_R,302.0,352.0,117.33333333333331,87.0,0.3826734413447097,0.3684210526315789,18.918445836284565,14.846416382252558,11.149626762172948,0.3723290826762122,1.5238275521389262,4.571482656416778,9
v2LN37,v2LN3,1,v2LN37,v2LN37_R,422.0,362.0,362.0,362.0,-0.6682464454976303,-0.6682464454976303,30.292887029288707,30.292887029288707,18.242677824267783,-0.668136754913087,0.0,0.0,20
v2LN3b,v2LN3,3,v2LN3b,v2LN3b_R,774.0,670.0,223.33333333333337,208.0,-0.3602903400560929,-0.4878048780487805,24.853148535336103,24.74977252047316,12.118110127664268,-0.4381820056386872,0.1429190048448062,0.4287570145344187,16
v2LN40,other v2LN,2,v2LN40,v2LN40_R,362.0,177.0,88.5,88.5,-0.9968652037617556,-0.9968652037617556,23.86415433290433,23.86415433290433,19.46421868296868,-0.9967623873873874,0.0,0.0,18
v2LN45,other v2LN,1,v2LN45,v2LN45_R,35.0,15.0,15.0,15.0,-1.0,-1.0,15.151515151515152,15.151515151515152,15.151515151515152,,0.0,0.0,26
