LN_class,hemibrain_body_observations,flywire_body_observations,flywire_source_roots,flywire_raw_LN_types,flywire_primary_flywire_names,flywire_hemibrain_types,hemibrain_orn_input_total,flywire_orn_input_total,hemibrain_contra_fraction,flywire_contra_fraction,hemibrain_mean_contra_preference,flywire_mean_contra_preference,hemibrain_pn_output_total,flywire_pn_output_total,hemibrain_mean_pn_output_total,flywire_mean_pn_output_total,hemibrain_mean_output_percent,flywire_mean_output_percent,hemibrain_n_orn_glomeruli_mean,flywire_n_orn_glomeruli_mean,hemibrain_n_pn_glomeruli_mean,flywire_n_pn_glomeruli_mean,hemibrain_body_score_mean,flywire_body_score_mean,orn_glomerulus_jaccard,pn_glomerulus_jaccard,convergent_glomerulus_jaccard,shared_orn_glomeruli,hemibrain_orn_glomeruli,flywire_orn_glomeruli,shared_pn_glomeruli,hemibrain_pn_glomeruli,flywire_pn_glomeruli,orn_input_distribution_correlation,pn_output_distribution_correlation,glomerulus_preference_correlation,same_contra_preference_sign,contra_preference_delta_flywire_minus_hemibrain,contra_fraction_delta_flywire_minus_hemibrain,body_score_delta_flywire_minus_hemibrain
il3LN6,2,4,2,il3LN6,il3LN6,il3LN6,12758.0,32668.0,0.8295187333437843,0.9333598628627403,0.6587221002588273,0.8670458142121641,3850.0,7942.0,1925.0,1985.5,28.711704737130283,10.762108410446913,26.5,44.25,38.5,44.0,4.980643345044764,6.571630461888963,0.4897959183673469,0.7647058823529411,0.5106382978723404,24,28,45,39,43,47,0.7573943462589442,0.9368076722180199,-0.2196692781789038,True,0.20832371395333682,0.10384112951895597,1.5909871168441994
lLN2F,4,8,8,lLN2F_a;lLN2F_b,lLN2F_a;lLN2F_b,lLN2F_a;lLN2F_b,22072.0,50179.0,0.7454240666908301,0.8572908985830726,0.47860784717819055,0.700168737200585,6791.0,13533.0,1697.75,1691.625,12.45571157026539,5.6460033671378875,30.5,47.625,47.25,48.5,3.557484046407107,5.202836578479577,0.64,0.8867924528301887,0.64,32,34,48,47,50,50,0.7617644692049783,0.8821766450485512,-0.287685332576018,True,0.22156089002239449,0.11186683189224256,1.6453525320724696
v2LN30,1,2,2,v2LN30,v2LN30,v2LN30,1563.0,4309.0,0.6321177223288548,0.7087491297284753,0.2642354446577095,0.4189008626448984,5169.0,21787.0,5169.0,10893.5,83.22331347609082,32.12765918085675,22.0,41.5,45.0,47.5,2.259378983095663,3.8976197197367703,0.45454545454545453,0.8235294117647058,0.45454545454545453,20,22,42,42,45,48,0.8253292654729726,0.8808575140092291,0.19587155938289522,True,0.1546654179871889,0.07663140739962049,1.6382407366411074
lLN2T,16,22,22,lLN2T_b;lLN2T_c;lLN2T_d;lLN2T_e;lLN2X03,lLN2T_b;lLN2T_c;lLN2T_d;lLN2T_e;lLN2X03,lLN2T_a;lLN2T_b;lLN2T_c;lLN2T_d;lLN2T_e,29471.0,50379.0,0.6694038207051,0.752118938446575,0.3480590108122789,0.4241010405274027,26552.0,46189.0,1659.5,2099.5,32.10006037889811,15.307112510516628,26.5625,42.68181818181818,44.8125,45.40909090909091,2.5441187068906124,3.2217476575543005,0.66,0.9038461538461539,0.66,33,35,48,47,49,50,0.8171404388439041,0.9101679044281765,-0.4390677100520033,True,0.0760420297151238,0.082715117741475,0.6776289506636881
lLN2P,14,34,34,lLN2P_a;lLN2P_b;lLN2P_c,lLN2P_a;lLN2P_b;lLN2P_c,lLN2P_a;lLN2P_b;lLN2P_c,12799.0,26221.0,0.5781701695444956,0.6668319286068418,0.17885798933328306,0.32985710825378645,16426.0,45496.0,1173.2857142857142,1338.1176470588234,50.57212897643801,17.015160477121302,17.071428571428573,26.529411764705884,31.357142857142858,30.058823529411764,1.2625045936725279,2.334106589164616,0.62,0.8867924528301887,0.62,31,33,48,47,50,50,0.6149187645761656,0.9910590870683806,-0.11801363093537914,True,0.15099911892050338,0.08866175906234619,1.0716019954920881
lLN1,16,33,33,lLN1_a;lLN1_bc,lLN1_a;lLN1_bc,"lLN1_a;lLN1_b,lLN1_c",2196.0,2462.0,0.5396174863387978,0.6376929325751421,0.07051670879837668,0.2137732586551053,24663.0,61232.0,1541.4375,1855.5151515151515,36.722762269086076,18.409220542369354,18.8125,20.757575757575758,47.9375,48.484848484848484,0.676563734427331,1.6694893411134064,0.6326530612244898,0.8867924528301887,0.6326530612244898,31,33,47,47,50,50,0.3776784153699574,0.8540165289669692,-0.2346554424432387,True,0.14325654985672862,0.09807544623634434,0.9929256066860754
v2LN47,3,4,4,v2LN47,v2LN47,v2LN47,167.0,218.0,0.47904191616766467,0.6100917431192661,-0.1031674208144796,0.1679532322137956,52.0,211.0,17.333333333333332,52.75,31.606837606837605,13.099759077020604,1.3333333333333333,1.25,1.3333333333333333,2.25,0.1262304245046353,0.92800978684641,0.6666666666666666,0.4,1.0,2,2,3,2,2,5,0.9999641887194862,0.9999509911680345,-0.19624851100089605,False,0.2711206530282752,0.1310498269516014,0.8017793623417747
vLN24,2,2,2,vLN24,vLN24,vLN24,684.0,218.0,0.4722222222222222,0.573394495412844,-0.096523178807947,0.049022468631456095,680.0,538.0,340.0,269.0,27.226486274578644,5.130792761319451,13.5,8.5,20.0,14.0,0.0,0.8477788092656233,0.36363636363636365,0.5,0.2631578947368421,8,18,12,17,30,21,0.22447358213394109,0.9948433595701448,-0.04995139515579544,False,0.1455456474394031,0.10117227319062183,0.8477788092656233
lLN13,1,1,1,lLN13,lLN13,lLN13,25.0,25.0,0.76,0.64,0.52,0.28,206.0,273.0,206.0,273.0,66.66666666666667,16.666666666666668,3.0,4.0,18.0,26.0,1.386506886248996,0.78583793489433,0.15384615384615385,0.6388888888888888,0.16666666666666666,2,6,9,23,29,30,0.29988016652322685,0.9704440632390499,0.19497363256491115,True,-0.24,-0.12,-0.600668951354666
v2LN46,3,7,7,v2LN46a;v2LN46b,v2LN46a;v2LN46b,v2LN46,202.0,693.0,0.29207920792079206,0.3333333333333333,-0.519905825168983,-0.4208431832789456,83.0,369.0,27.666666666666668,52.714285714285715,26.359693026359693,9.509852727311339,3.3333333333333335,3.0,2.3333333333333335,2.7142857142857144,0.0,0.1751134451987674,0.625,0.3333333333333333,0.5,5,6,7,3,3,9,0.9961804751333492,0.9897445420394331,-0.16362550445136007,True,0.09906264189003738,0.041254125412541254,0.1751134451987674
