glomerulus,n_observations_hemibrain,n_ln_types_hemibrain,orn_input_total_hemibrain,pn_output_weight_total_hemibrain,contra_orn_preference_weighted_hemibrain,same_glomerulus_convergence_score_hemibrain,n_observations_flywire,n_ln_types_flywire,orn_input_total_flywire,pn_output_weight_total_flywire,contra_orn_preference_weighted_flywire,same_glomerulus_convergence_score_flywire,orn_input_total_delta_flywire_minus_hemibrain,pn_output_weight_total_delta_flywire_minus_hemibrain,contra_orn_preference_weighted_delta_flywire_minus_hemibrain,same_glomerulus_convergence_score_delta_flywire_minus_hemibrain,same_preference_sign
DC1,103,29,4858.0,2393.0,0.10415808974886782,-0.312700867455301,230,50,6855.0,7932.0,0.47541940189642595,0.8298355907578473,1997.0,5539.0,0.37126131214755814,1.1425364582131483,True
VA6,102,31,1.0,1765.0,1.0,0.0,250,49,7838.0,6771.0,0.5843327379433529,0.8248571423878063,7837.0,5006.0,-0.41566726205664706,0.8248571423878063,True
DC2,87,22,3762.0,2297.0,0.5034556087187666,0.672082790852466,226,41,3830.0,5706.0,0.6046997389033942,0.7782654754326237,68.0,3409.0,0.10124413018462763,0.10618268458015767,True
VL2a,92,27,6166.0,2532.0,0.35128121959130715,0.5662970701881626,221,47,7471.0,6815.0,0.6244144023557756,0.7424664954123437,1305.0,4283.0,0.27313318276446846,0.1761694252241811,True
DM1,85,23,8858.0,2333.0,0.3517724091216979,0.3242119811393758,218,38,13273.0,8594.0,0.3802456113915467,0.4681406113864308,4415.0,6261.0,0.02847320226984884,0.143928630247055,True
VM4,75,24,34.0,912.0,-1.0,-0.12761219552613612,170,39,4228.0,3589.0,0.521759697256386,0.34375164748585213,4194.0,2677.0,1.521759697256386,0.47136384301198825,False
DL1,99,31,4211.0,2456.0,0.42626454523866064,0.2968684675775451,231,53,6319.0,7659.0,0.47175185947143533,0.3318015707309967,2108.0,5203.0,0.04548731423277469,0.034933103153451606,True
VC2,95,28,0.0,1410.0,,0.0,202,41,3108.0,3377.0,0.528957528957529,0.30585228939584325,3108.0,1967.0,,0.30585228939584325,False
VC5,90,28,103.0,1487.0,-1.0,-0.695906605626003,209,42,8643.0,6614.0,0.09776697905819738,0.30259261279214034,8540.0,5127.0,1.0977669790581974,0.9984992184181434,False
VM1,75,26,10.0,486.0,-1.0,-0.0369041286419706,187,41,3094.0,4089.0,0.4744667097608274,0.30023673532207534,3084.0,3603.0,1.4744667097608275,0.33714086396404597,False
DM2,77,22,2330.0,1595.0,0.3871244635193133,0.22197474865568725,214,39,4959.0,6609.0,0.4627949183303085,0.2973476794617468,2629.0,5014.0,0.07567045481099521,0.07537293080605953,True
VC1,93,26,2510.0,1959.0,0.6175298804780877,0.9837790437579628,214,40,5837.0,5270.0,0.3575466849408943,0.28885325614359497,3327.0,3311.0,-0.25998319553719335,-0.6949257876143677,True
DP1l,94,29,6194.0,3562.0,0.1746851792056829,-0.32213394924708777,227,47,11139.0,11736.0,0.29275518448693777,0.28623959604203586,4945.0,8174.0,0.11807000528125486,0.6083735452891237,True
DP1m,100,29,11075.0,4414.0,0.2949887133182844,0.5591699560678096,260,52,23436.0,17465.0,0.22111281788701143,0.26386406784560357,12361.0,13051.0,-0.07387589543127299,-0.29530588822220605,True
DA4l,61,21,0.0,290.0,,0.0,161,43,1305.0,1842.0,0.41455938697318007,0.2185505244442511,1305.0,1552.0,,0.2185505244442511,False
VA5,98,35,0.0,1833.0,,0.0,174,39,549.0,2941.0,0.6174863387978142,0.21531155882162106,549.0,1108.0,,0.21531155882162106,False
VM3,54,14,44.0,420.0,-1.0,-0.10187462713077489,169,30,1907.0,3194.0,0.6413214472994232,0.18906184614811944,1863.0,2774.0,1.6413214472994233,0.2909364732788943,False
VA4,74,22,0.0,1221.0,,0.0,182,35,3240.0,2824.0,0.5006172839506173,0.18800351631489323,3240.0,1603.0,,0.18800351631489323,False
VA7l,89,29,124.0,1267.0,1.0,0.4779060303059154,194,37,1078.0,2762.0,0.31910946196660483,0.13922290963699094,954.0,1495.0,-0.6808905380333952,-0.3386831206689245,True
VM7v,83,23,1059.0,1071.0,0.46175637393767704,0.3277049870803934,186,32,3492.0,3296.0,0.3018327605956472,0.12692238231066735,2433.0,2225.0,-0.15992361334202987,-0.20078260476972606,True
DM6,69,18,3524.0,1356.0,0.41316685584562995,0.31652937079071425,187,36,4161.0,3422.0,0.42273491949050707,0.11377013710963038,637.0,2066.0,0.009568063644877112,-0.20275923368108387,True
DM5,37,11,9.0,155.0,-1.0,-0.052670504122220095,162,30,1366.0,1623.0,0.4480234260614934,0.1048607074254377,1357.0,1468.0,1.4480234260614935,0.15753121154765778,False
DA2,85,27,0.0,773.0,,0.0,178,38,2567.0,2491.0,0.3019088430074016,0.08224015699705123,2567.0,1718.0,,0.08224015699705123,False
DM3,78,21,2976.0,1312.0,0.30376344086021506,0.136602253850778,133,27,3283.0,1617.0,0.43831861102650016,0.07006576253645896,307.0,305.0,0.1345551701662851,-0.06653649131431905,True
VA7m,82,26,0.0,1406.0,,0.0,198,41,1663.0,2559.0,0.508117859290439,0.053792937265035784,1663.0,1153.0,,0.053792937265035784,False
DA4m,94,32,0.0,613.0,,0.0,248,56,2337.0,3645.0,0.384681215233205,0.03421410454472899,2337.0,3032.0,,0.03421410454472899,False
DA3,61,18,59.0,307.0,-1.0,-0.1152171699092212,116,25,962.0,243.0,0.49064449064449067,0.010838271100004522,903.0,-64.0,1.4906444906444907,0.12605544100922572,False
mPN,190,60,0.0,31494.0,,0.0,460,74,0.0,73765.0,,0.0,0.0,42271.0,,0.0,False
VA2,70,20,18.0,1313.0,-1.0,-0.1658722268068523,204,35,6214.0,5277.0,0.5539105246218217,-0.017968917644161805,6196.0,3964.0,1.5539105246218217,0.14790330916269048,False
VM2,25,9,0.0,38.0,,0.0,168,30,2454.0,1975.0,0.4547677261613692,-0.03973648769586889,2454.0,1937.0,,-0.03973648769586889,False
VC4,78,22,0.0,1712.0,,0.0,214,37,2664.0,4902.0,0.6096096096096096,-0.05117556100007731,2664.0,3190.0,,-0.05117556100007731,False
VL2p,106,34,5294.0,3070.0,0.05100113335851908,-0.501713520313873,245,48,5709.0,5092.0,0.30145384480644594,-0.05446533738214154,415.0,2022.0,0.25045271144792686,0.4472481829317314,True
D,99,31,57.0,2097.0,-1.0,-0.7284992444469847,242,49,5461.0,5699.0,0.5359824208020509,-0.08328250742333984,5404.0,3602.0,1.535982420802051,0.6452167370236448,False
DL4,78,25,2455.0,707.0,0.1429735234215886,0.03765925138196137,158,34,1879.0,1504.0,0.22299095263437999,-0.09021278533711333,-576.0,797.0,0.0800174292127914,-0.1278720367190747,True
