LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2F_a_R,7205759406057581422,D,119,24,95
lLN2F_a_R,7205759406057581422,DA1,167,11,156
lLN2F_a_R,7205759406057581422,DA2,95,40,55
lLN2F_a_R,7205759406057581422,DA3,27,4,23
lLN2F_a_R,7205759406057581422,DA4l,50,13,37
lLN2F_a_R,7205759406057581422,DA4m,98,13,85
lLN2F_a_R,7205759406057581422,DC1,180,27,153
lLN2F_a_R,7205759406057581422,DC2,85,13,72
lLN2F_a_R,7205759406057581422,DC3,41,13,28
lLN2F_a_R,7205759406057581422,DC4,170,33,137
lLN2F_a_R,7205759406057581422,DL1,140,26,114
lLN2F_a_R,7205759406057581422,DL2d,83,26,57
lLN2F_a_R,7205759406057581422,DL2v,94,18,76
lLN2F_a_R,7205759406057581422,DL3,59,7,52
lLN2F_a_R,7205759406057581422,DL4,33,13,20
lLN2F_a_R,7205759406057581422,DL5,198,36,162
lLN2F_a_R,7205759406057581422,DM1,179,49,130
lLN2F_a_R,7205759406057581422,DM2,82,18,64
lLN2F_a_R,7205759406057581422,DM3,83,18,65
lLN2F_a_R,7205759406057581422,DM4,161,53,108
lLN2F_a_R,7205759406057581422,DM5,37,4,33
lLN2F_a_R,7205759406057581422,DM6,103,35,68
lLN2F_a_R,7205759406057581422,DP1l,122,9,113
lLN2F_a_R,7205759406057581422,DP1m,330,69,261
lLN2F_a_R,7205759406057581422,V,45,45,0
lLN2F_a_R,7205759406057581422,VA1d,25,2,23
lLN2F_a_R,7205759406057581422,VA1v,47,3,44
lLN2F_a_R,7205759406057581422,VA2,51,6,45
lLN2F_a_R,7205759406057581422,VA3,48,1,47
lLN2F_a_R,7205759406057581422,VA4,80,10,70
lLN2F_a_R,7205759406057581422,VA5,21,1,20
lLN2F_a_R,7205759406057581422,VA6,223,27,196
lLN2F_a_R,7205759406057581422,VA7l,25,8,17
lLN2F_a_R,7205759406057581422,VA7m,48,21,27
lLN2F_a_R,7205759406057581422,VC1,181,24,157
lLN2F_a_R,7205759406057581422,VC2,106,13,93
lLN2F_a_R,7205759406057581422,VC3l,30,3,27
lLN2F_a_R,7205759406057581422,VC3m,54,4,50
lLN2F_a_R,7205759406057581422,VC4,22,3,19
lLN2F_a_R,7205759406057581422,VC5,163,28,135
lLN2F_a_R,7205759406057581422,VL1,21,21,0
lLN2F_a_R,7205759406057581422,VL2a,127,9,118
lLN2F_a_R,7205759406057581422,VL2p,41,6,35
lLN2F_a_R,7205759406057581422,VM1,62,14,48
lLN2F_a_R,7205759406057581422,VM2,63,12,51
lLN2F_a_R,7205759406057581422,VM3,34,0,34
lLN2F_a_R,7205759406057581422,VM4,117,9,108
lLN2F_a_R,7205759406057581422,VM5d,160,16,144
lLN2F_a_R,7205759406057581422,VM5v,110,20,90
lLN2F_a_R,7205759406057581422,VM7d,83,10,73
lLN2F_a_R,7205759406057581422,VM7v,91,18,73
