LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN10_L,7205759406101576881,DA2,41,22,19
lLN10_L,7205759406101576881,DA3,3,1,2
lLN10_L,7205759406101576881,DA4m,5,5,0
lLN10_L,7205759406101576881,DC1,2,2,0
lLN10_L,7205759406101576881,DC4,30,21,9
lLN10_L,7205759406101576881,DL2v,1,0,1
lLN10_L,7205759406101576881,DP1l,2,2,0
lLN10_L,7205759406101576881,VC4,2,2,0
lLN10_L,7205759406101576881,VL1,1,1,0
lLN10_L,7205759406101576881,VM5d,4,4,0
lLN10_L,7205759406101576881,VM5v,5,0,5
lLN10_L,7205759406101576881,VM7d,37,25,12
lLN10_L,7205759406101576881,VM7v,29,22,7
