LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2P_a_L,7205759406124755981,D,42,6,36
lLN2P_a_L,7205759406124755981,DA2,23,4,19
lLN2P_a_L,7205759406124755981,DA4m,28,12,16
lLN2P_a_L,7205759406124755981,DC1,51,12,39
lLN2P_a_L,7205759406124755981,DC2,56,5,51
lLN2P_a_L,7205759406124755981,DC3,29,8,21
lLN2P_a_L,7205759406124755981,DL1,21,7,14
lLN2P_a_L,7205759406124755981,DL2d,14,2,12
lLN2P_a_L,7205759406124755981,DL2v,1,1,0
lLN2P_a_L,7205759406124755981,DM1,71,24,47
lLN2P_a_L,7205759406124755981,DM3,64,23,41
lLN2P_a_L,7205759406124755981,DM6,22,5,17
lLN2P_a_L,7205759406124755981,DP1m,60,14,46
lLN2P_a_L,7205759406124755981,VA1d,12,3,9
lLN2P_a_L,7205759406124755981,VA1v,2,0,2
lLN2P_a_L,7205759406124755981,VA6,41,5,36
lLN2P_a_L,7205759406124755981,VC1,66,26,40
lLN2P_a_L,7205759406124755981,VC2,2,2,0
lLN2P_a_L,7205759406124755981,VC3l,44,24,20
lLN2P_a_L,7205759406124755981,VL1,37,37,0
lLN2P_a_L,7205759406124755981,VL2p,6,2,4
lLN2P_a_L,7205759406124755981,VM5d,41,19,22
lLN2P_a_L,7205759406124755981,VM7v,1,1,0
