LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN3A1_b_L,7205759406132228351,D,2,2,0
v2LN3A1_b_L,7205759406132228351,DA3,1,0,1
v2LN3A1_b_L,7205759406132228351,DC1,19,18,1
v2LN3A1_b_L,7205759406132228351,DC2,36,31,5
v2LN3A1_b_L,7205759406132228351,DC3,3,1,2
v2LN3A1_b_L,7205759406132228351,DC4,24,22,2
v2LN3A1_b_L,7205759406132228351,DL1,3,2,1
v2LN3A1_b_L,7205759406132228351,DL2d,5,4,1
v2LN3A1_b_L,7205759406132228351,DL2v,12,12,0
v2LN3A1_b_L,7205759406132228351,DL5,6,5,1
v2LN3A1_b_L,7205759406132228351,DM1,32,29,3
v2LN3A1_b_L,7205759406132228351,DM2,4,4,0
v2LN3A1_b_L,7205759406132228351,DM3,5,5,0
v2LN3A1_b_L,7205759406132228351,DM4,25,22,3
v2LN3A1_b_L,7205759406132228351,DM5,2,2,0
v2LN3A1_b_L,7205759406132228351,DM6,1,1,0
v2LN3A1_b_L,7205759406132228351,DP1l,9,9,0
v2LN3A1_b_L,7205759406132228351,DP1m,49,43,6
v2LN3A1_b_L,7205759406132228351,VA2,9,8,1
v2LN3A1_b_L,7205759406132228351,VA3,1,1,0
v2LN3A1_b_L,7205759406132228351,VA4,6,5,1
v2LN3A1_b_L,7205759406132228351,VA7l,5,5,0
v2LN3A1_b_L,7205759406132228351,VA7m,1,1,0
v2LN3A1_b_L,7205759406132228351,VC1,74,63,11
v2LN3A1_b_L,7205759406132228351,VC3l,4,2,2
v2LN3A1_b_L,7205759406132228351,VM2,1,1,0
v2LN3A1_b_L,7205759406132228351,VM3,1,1,0
v2LN3A1_b_L,7205759406132228351,VM5v,1,1,0
v2LN3A1_b_L,7205759406132228351,VM7v,10,6,4
