LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
LN60a_L,7205759406134896171,D,4,4,0
LN60a_L,7205759406134896171,DC1,4,4,0
LN60a_L,7205759406134896171,DC3,2,2,0
LN60a_L,7205759406134896171,DC4,40,37,3
LN60a_L,7205759406134896171,DL1,2,2,0
LN60a_L,7205759406134896171,DL2d,5,2,3
LN60a_L,7205759406134896171,DL2v,56,36,20
LN60a_L,7205759406134896171,DL5,4,4,0
LN60a_L,7205759406134896171,DM1,21,15,6
LN60a_L,7205759406134896171,DM2,9,8,1
LN60a_L,7205759406134896171,DM3,30,25,5
LN60a_L,7205759406134896171,DM4,14,10,4
LN60a_L,7205759406134896171,DM5,3,1,2
LN60a_L,7205759406134896171,DP1l,15,14,1
LN60a_L,7205759406134896171,DP1m,149,131,18
LN60a_L,7205759406134896171,VA2,22,22,0
LN60a_L,7205759406134896171,VA3,13,10,3
LN60a_L,7205759406134896171,VA4,27,24,3
LN60a_L,7205759406134896171,VA7l,2,2,0
LN60a_L,7205759406134896171,VA7m,3,3,0
LN60a_L,7205759406134896171,VC1,41,24,17
LN60a_L,7205759406134896171,VC2,27,19,8
LN60a_L,7205759406134896171,VC3l,1,1,0
LN60a_L,7205759406134896171,VC4,3,2,1
LN60a_L,7205759406134896171,VM2,10,10,0
LN60a_L,7205759406134896171,VM3,18,18,0
LN60a_L,7205759406134896171,VM5d,7,4,3
LN60a_L,7205759406134896171,VM5v,27,23,4
LN60a_L,7205759406134896171,VM7d,67,52,15
LN60a_L,7205759406134896171,VM7v,9,8,1
