LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_c_L,7205759406135905011,D,65,23,42
lLN2T_c_L,7205759406135905011,DA1,34,14,20
lLN2T_c_L,7205759406135905011,DA2,6,0,6
lLN2T_c_L,7205759406135905011,DA3,3,0,3
lLN2T_c_L,7205759406135905011,DA4l,10,1,9
lLN2T_c_L,7205759406135905011,DA4m,3,1,2
lLN2T_c_L,7205759406135905011,DC1,89,38,51
lLN2T_c_L,7205759406135905011,DC2,8,3,5
lLN2T_c_L,7205759406135905011,DC3,12,4,8
lLN2T_c_L,7205759406135905011,DC4,33,11,22
lLN2T_c_L,7205759406135905011,DL2d,48,15,33
lLN2T_c_L,7205759406135905011,DL2v,42,10,32
lLN2T_c_L,7205759406135905011,DL3,28,10,18
lLN2T_c_L,7205759406135905011,DL4,9,4,5
lLN2T_c_L,7205759406135905011,DL5,88,27,61
lLN2T_c_L,7205759406135905011,DM1,165,54,111
lLN2T_c_L,7205759406135905011,DM2,154,42,112
lLN2T_c_L,7205759406135905011,DM3,82,28,54
lLN2T_c_L,7205759406135905011,DM4,10,6,4
lLN2T_c_L,7205759406135905011,DM6,40,14,26
lLN2T_c_L,7205759406135905011,DP1l,38,15,23
lLN2T_c_L,7205759406135905011,DP1m,192,58,134
lLN2T_c_L,7205759406135905011,VA1d,14,3,11
lLN2T_c_L,7205759406135905011,VA1v,5,1,4
lLN2T_c_L,7205759406135905011,VA2,136,23,113
lLN2T_c_L,7205759406135905011,VA3,23,6,17
lLN2T_c_L,7205759406135905011,VA4,39,16,23
lLN2T_c_L,7205759406135905011,VA5,2,0,2
lLN2T_c_L,7205759406135905011,VA6,92,21,71
lLN2T_c_L,7205759406135905011,VA7l,8,4,4
lLN2T_c_L,7205759406135905011,VA7m,15,10,5
lLN2T_c_L,7205759406135905011,VC1,58,18,40
lLN2T_c_L,7205759406135905011,VC2,24,5,19
lLN2T_c_L,7205759406135905011,VC3l,24,14,10
lLN2T_c_L,7205759406135905011,VC3m,73,29,44
lLN2T_c_L,7205759406135905011,VC4,27,3,24
lLN2T_c_L,7205759406135905011,VC5,6,0,6
lLN2T_c_L,7205759406135905011,VL1,2,2,0
lLN2T_c_L,7205759406135905011,VL2a,55,4,51
lLN2T_c_L,7205759406135905011,VL2p,49,12,37
lLN2T_c_L,7205759406135905011,VM1,56,22,34
lLN2T_c_L,7205759406135905011,VM2,11,2,9
lLN2T_c_L,7205759406135905011,VM3,22,4,18
lLN2T_c_L,7205759406135905011,VM4,46,12,34
lLN2T_c_L,7205759406135905011,VM5d,103,42,61
lLN2T_c_L,7205759406135905011,VM5v,1,0,1
lLN2T_c_L,7205759406135905011,VM7d,30,3,27
lLN2T_c_L,7205759406135905011,VM7v,3,3,0
