LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_c_R,7205759406138042592,D,45,13,32
lLN2T_c_R,7205759406138042592,DA1,226,37,189
lLN2T_c_R,7205759406138042592,DA4l,12,2,10
lLN2T_c_R,7205759406138042592,DA4m,1,0,1
lLN2T_c_R,7205759406138042592,DC1,99,28,71
lLN2T_c_R,7205759406138042592,DC2,51,13,38
lLN2T_c_R,7205759406138042592,DC3,139,26,113
lLN2T_c_R,7205759406138042592,DC4,13,6,7
lLN2T_c_R,7205759406138042592,DL1,73,19,54
lLN2T_c_R,7205759406138042592,DL2d,25,5,20
lLN2T_c_R,7205759406138042592,DL2v,54,9,45
lLN2T_c_R,7205759406138042592,DL4,68,25,43
lLN2T_c_R,7205759406138042592,DL5,87,37,50
lLN2T_c_R,7205759406138042592,DM1,252,83,169
lLN2T_c_R,7205759406138042592,DM2,92,21,71
lLN2T_c_R,7205759406138042592,DM3,29,12,17
lLN2T_c_R,7205759406138042592,DM4,81,34,47
lLN2T_c_R,7205759406138042592,DM6,64,19,45
lLN2T_c_R,7205759406138042592,DP1l,59,15,44
lLN2T_c_R,7205759406138042592,DP1m,188,70,118
lLN2T_c_R,7205759406138042592,V,15,15,0
lLN2T_c_R,7205759406138042592,VA1d,81,6,75
lLN2T_c_R,7205759406138042592,VA1v,1,0,1
lLN2T_c_R,7205759406138042592,VA2,28,4,24
lLN2T_c_R,7205759406138042592,VA3,26,3,23
lLN2T_c_R,7205759406138042592,VA4,22,8,14
lLN2T_c_R,7205759406138042592,VA6,39,6,33
lLN2T_c_R,7205759406138042592,VA7l,24,6,18
lLN2T_c_R,7205759406138042592,VA7m,58,9,49
lLN2T_c_R,7205759406138042592,VC1,17,4,13
lLN2T_c_R,7205759406138042592,VC2,25,6,19
lLN2T_c_R,7205759406138042592,VC3l,2,1,1
lLN2T_c_R,7205759406138042592,VC3m,59,14,45
lLN2T_c_R,7205759406138042592,VC4,35,11,24
lLN2T_c_R,7205759406138042592,VC5,13,1,12
lLN2T_c_R,7205759406138042592,VL2a,70,9,61
lLN2T_c_R,7205759406138042592,VL2p,21,4,17
lLN2T_c_R,7205759406138042592,VM1,10,3,7
lLN2T_c_R,7205759406138042592,VM2,6,1,5
lLN2T_c_R,7205759406138042592,VM3,19,3,16
lLN2T_c_R,7205759406138042592,VM5d,57,17,40
lLN2T_c_R,7205759406138042592,VM7d,73,19,54
lLN2T_c_R,7205759406138042592,VM7v,13,7,6
