LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2P_b_L,7205759406144291651,D,22,5,17
lLN2P_b_L,7205759406144291651,DA2,33,13,20
lLN2P_b_L,7205759406144291651,DA4m,5,1,4
lLN2P_b_L,7205759406144291651,DC1,74,36,38
lLN2P_b_L,7205759406144291651,DC2,45,9,36
lLN2P_b_L,7205759406144291651,DC4,9,6,3
lLN2P_b_L,7205759406144291651,DL5,1,1,0
lLN2P_b_L,7205759406144291651,DM1,71,36,35
lLN2P_b_L,7205759406144291651,DM4,1,1,0
lLN2P_b_L,7205759406144291651,DM6,13,6,7
lLN2P_b_L,7205759406144291651,DP1l,16,10,6
lLN2P_b_L,7205759406144291651,DP1m,59,29,30
lLN2P_b_L,7205759406144291651,VA1d,11,5,6
lLN2P_b_L,7205759406144291651,VA2,100,17,83
lLN2P_b_L,7205759406144291651,VA3,22,4,18
lLN2P_b_L,7205759406144291651,VA4,20,10,10
lLN2P_b_L,7205759406144291651,VA7m,1,1,0
lLN2P_b_L,7205759406144291651,VC3l,53,12,41
lLN2P_b_L,7205759406144291651,VC3m,42,16,26
lLN2P_b_L,7205759406144291651,VC5,71,24,47
lLN2P_b_L,7205759406144291651,VM1,1,0,1
lLN2P_b_L,7205759406144291651,VM4,71,18,53
lLN2P_b_L,7205759406144291651,VM5d,16,2,14
lLN2P_b_L,7205759406144291651,VM5v,37,10,27
lLN2P_b_L,7205759406144291651,VM7d,39,7,32
lLN2P_b_L,7205759406144291651,VM7v,1,1,0
