LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
ALBN1_R,7205759406147565892,D,2,2,0
ALBN1_R,7205759406147565892,DA1,23,23,0
ALBN1_R,7205759406147565892,DC1,33,33,0
ALBN1_R,7205759406147565892,DC2,23,23,0
ALBN1_R,7205759406147565892,DC3,6,6,0
ALBN1_R,7205759406147565892,DC4,208,204,4
ALBN1_R,7205759406147565892,DL1,1,1,0
ALBN1_R,7205759406147565892,DL2d,1,1,0
ALBN1_R,7205759406147565892,DL2v,2,1,1
ALBN1_R,7205759406147565892,DL3,3,3,0
ALBN1_R,7205759406147565892,DL5,33,31,2
ALBN1_R,7205759406147565892,DM1,102,94,8
ALBN1_R,7205759406147565892,DM2,22,22,0
ALBN1_R,7205759406147565892,DM3,45,41,4
ALBN1_R,7205759406147565892,DM4,7,5,2
ALBN1_R,7205759406147565892,DP1l,13,13,0
ALBN1_R,7205759406147565892,DP1m,554,521,33
ALBN1_R,7205759406147565892,V,1,1,0
ALBN1_R,7205759406147565892,VA2,31,30,1
ALBN1_R,7205759406147565892,VA3,10,10,0
ALBN1_R,7205759406147565892,VA4,11,11,0
ALBN1_R,7205759406147565892,VA6,14,14,0
ALBN1_R,7205759406147565892,VA7m,4,4,0
ALBN1_R,7205759406147565892,VC3m,11,10,1
ALBN1_R,7205759406147565892,VC4,24,23,1
ALBN1_R,7205759406147565892,VC5,6,6,0
ALBN1_R,7205759406147565892,VL2a,1,1,0
ALBN1_R,7205759406147565892,VM3,8,8,0
ALBN1_R,7205759406147565892,VM5d,9,9,0
ALBN1_R,7205759406147565892,VM7d,120,119,1
