LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN30_R,7205759406149560722,D,78,5,73
v2LN30_R,7205759406149560722,DA1,469,136,333
v2LN30_R,7205759406149560722,DA2,16,9,7
v2LN30_R,7205759406149560722,DA3,61,29,32
v2LN30_R,7205759406149560722,DA4l,48,11,37
v2LN30_R,7205759406149560722,DA4m,1,1,0
v2LN30_R,7205759406149560722,DC1,89,17,72
v2LN30_R,7205759406149560722,DC3,24,10,14
v2LN30_R,7205759406149560722,DL1,30,11,19
v2LN30_R,7205759406149560722,DL2d,95,53,42
v2LN30_R,7205759406149560722,DL2v,67,29,38
v2LN30_R,7205759406149560722,DL3,26,4,22
v2LN30_R,7205759406149560722,DL4,11,3,8
v2LN30_R,7205759406149560722,DM1,53,23,30
v2LN30_R,7205759406149560722,DM2,16,6,10
v2LN30_R,7205759406149560722,DM3,35,5,30
v2LN30_R,7205759406149560722,DM4,7,4,3
v2LN30_R,7205759406149560722,DM5,23,8,15
v2LN30_R,7205759406149560722,DM6,31,3,28
v2LN30_R,7205759406149560722,DP1l,52,16,36
v2LN30_R,7205759406149560722,DP1m,56,26,30
v2LN30_R,7205759406149560722,V,22,22,0
v2LN30_R,7205759406149560722,VA1d,59,12,47
v2LN30_R,7205759406149560722,VA1v,5,2,3
v2LN30_R,7205759406149560722,VA2,25,5,20
v2LN30_R,7205759406149560722,VA3,7,5,2
v2LN30_R,7205759406149560722,VA4,83,33,50
v2LN30_R,7205759406149560722,VA5,23,18,5
v2LN30_R,7205759406149560722,VA6,138,35,103
v2LN30_R,7205759406149560722,VA7l,12,4,8
v2LN30_R,7205759406149560722,VC1,101,54,47
v2LN30_R,7205759406149560722,VC2,80,16,64
v2LN30_R,7205759406149560722,VC3l,6,2,4
v2LN30_R,7205759406149560722,VC3m,29,5,24
v2LN30_R,7205759406149560722,VC5,3,3,0
v2LN30_R,7205759406149560722,VL1,7,7,0
v2LN30_R,7205759406149560722,VL2a,166,51,115
v2LN30_R,7205759406149560722,VL2p,4,3,1
v2LN30_R,7205759406149560722,VM1,10,7,3
v2LN30_R,7205759406149560722,VM2,30,7,23
v2LN30_R,7205759406149560722,VM3,23,3,20
v2LN30_R,7205759406149560722,VM4,120,48,72
v2LN30_R,7205759406149560722,VM7d,2,1,1
v2LN30_R,7205759406149560722,VM7v,6,5,1
