LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_b_L,7205759406161695781,D,232,45,187
lLN2T_b_L,7205759406161695781,DA1,119,20,99
lLN2T_b_L,7205759406161695781,DA2,19,5,14
lLN2T_b_L,7205759406161695781,DA3,32,1,31
lLN2T_b_L,7205759406161695781,DA4l,3,0,3
lLN2T_b_L,7205759406161695781,DA4m,74,9,65
lLN2T_b_L,7205759406161695781,DC1,335,73,262
lLN2T_b_L,7205759406161695781,DC2,215,20,195
lLN2T_b_L,7205759406161695781,DC3,228,36,192
lLN2T_b_L,7205759406161695781,DC4,6,0,6
lLN2T_b_L,7205759406161695781,DL1,287,68,219
lLN2T_b_L,7205759406161695781,DL2d,20,5,15
lLN2T_b_L,7205759406161695781,DL2v,71,14,57
lLN2T_b_L,7205759406161695781,DL5,275,52,223
lLN2T_b_L,7205759406161695781,DM1,579,147,432
lLN2T_b_L,7205759406161695781,DM2,352,99,253
lLN2T_b_L,7205759406161695781,DM3,153,36,117
lLN2T_b_L,7205759406161695781,DM4,4,1,3
lLN2T_b_L,7205759406161695781,DM5,16,10,6
lLN2T_b_L,7205759406161695781,DM6,72,15,57
lLN2T_b_L,7205759406161695781,DP1l,206,53,153
lLN2T_b_L,7205759406161695781,DP1m,522,91,431
lLN2T_b_L,7205759406161695781,V,107,107,0
lLN2T_b_L,7205759406161695781,VA1d,19,3,16
lLN2T_b_L,7205759406161695781,VA1v,170,27,143
lLN2T_b_L,7205759406161695781,VA2,146,22,124
lLN2T_b_L,7205759406161695781,VA3,108,13,95
lLN2T_b_L,7205759406161695781,VA4,151,37,114
lLN2T_b_L,7205759406161695781,VA5,18,4,14
lLN2T_b_L,7205759406161695781,VA6,236,33,203
lLN2T_b_L,7205759406161695781,VA7l,66,20,46
lLN2T_b_L,7205759406161695781,VA7m,87,18,69
lLN2T_b_L,7205759406161695781,VC1,148,43,105
lLN2T_b_L,7205759406161695781,VC2,72,18,54
lLN2T_b_L,7205759406161695781,VC3l,92,28,64
lLN2T_b_L,7205759406161695781,VC3m,339,81,258
lLN2T_b_L,7205759406161695781,VC4,154,20,134
lLN2T_b_L,7205759406161695781,VC5,5,1,4
lLN2T_b_L,7205759406161695781,VL1,12,12,0
lLN2T_b_L,7205759406161695781,VL2a,165,26,139
lLN2T_b_L,7205759406161695781,VL2p,101,31,70
lLN2T_b_L,7205759406161695781,VM1,18,10,8
lLN2T_b_L,7205759406161695781,VM2,40,16,24
lLN2T_b_L,7205759406161695781,VM3,97,20,77
lLN2T_b_L,7205759406161695781,VM4,250,32,218
lLN2T_b_L,7205759406161695781,VM5d,228,40,188
lLN2T_b_L,7205759406161695781,VM5v,91,13,78
lLN2T_b_L,7205759406161695781,VM7d,22,6,16
lLN2T_b_L,7205759406161695781,VM7v,149,70,79
