LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
CB3417_L,7205759406170212341,D,1,0,1
CB3417_L,7205759406170212341,DC4,5,1,4
CB3417_L,7205759406170212341,DM1,7,1,6
CB3417_L,7205759406170212341,DM4,5,1,4
CB3417_L,7205759406170212341,DM5,8,0,8
CB3417_L,7205759406170212341,DM6,1,0,1
CB3417_L,7205759406170212341,DP1l,2,2,0
CB3417_L,7205759406170212341,V,1,1,0
CB3417_L,7205759406170212341,VA2,7,2,5
CB3417_L,7205759406170212341,VC3l,3,0,3
CB3417_L,7205759406170212341,VC3m,2,1,1
CB3417_L,7205759406170212341,VC5,5,3,2
CB3417_L,7205759406170212341,VM2,15,6,9
CB3417_L,7205759406170212341,VM5v,1,0,1
