LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2X05_R,7205759406172991312,D,53,6,47
lLN2X05_R,7205759406172991312,DA1,7,1,6
lLN2X05_R,7205759406172991312,DA2,16,4,12
lLN2X05_R,7205759406172991312,DA4l,5,0,5
lLN2X05_R,7205759406172991312,DA4m,9,0,9
lLN2X05_R,7205759406172991312,DC1,61,13,48
lLN2X05_R,7205759406172991312,DC2,15,2,13
lLN2X05_R,7205759406172991312,DC4,69,19,50
lLN2X05_R,7205759406172991312,DL1,24,4,20
lLN2X05_R,7205759406172991312,DL2v,7,2,5
lLN2X05_R,7205759406172991312,DL5,36,3,33
lLN2X05_R,7205759406172991312,DM1,73,19,54
lLN2X05_R,7205759406172991312,DM2,31,2,29
lLN2X05_R,7205759406172991312,DM3,14,2,12
lLN2X05_R,7205759406172991312,DM4,20,5,15
lLN2X05_R,7205759406172991312,DM6,8,0,8
lLN2X05_R,7205759406172991312,DP1l,4,1,3
lLN2X05_R,7205759406172991312,DP1m,36,5,31
lLN2X05_R,7205759406172991312,V,8,8,0
lLN2X05_R,7205759406172991312,VA1d,1,0,1
lLN2X05_R,7205759406172991312,VA1v,4,1,3
lLN2X05_R,7205759406172991312,VA2,20,1,19
lLN2X05_R,7205759406172991312,VA3,7,0,7
lLN2X05_R,7205759406172991312,VA4,7,0,7
lLN2X05_R,7205759406172991312,VA6,40,3,37
lLN2X05_R,7205759406172991312,VA7l,5,1,4
lLN2X05_R,7205759406172991312,VA7m,8,3,5
lLN2X05_R,7205759406172991312,VC1,15,2,13
lLN2X05_R,7205759406172991312,VC2,3,0,3
lLN2X05_R,7205759406172991312,VC3l,11,2,9
lLN2X05_R,7205759406172991312,VC3m,7,0,7
lLN2X05_R,7205759406172991312,VC4,5,1,4
lLN2X05_R,7205759406172991312,VC5,25,4,21
lLN2X05_R,7205759406172991312,VL1,1,1,0
lLN2X05_R,7205759406172991312,VL2a,22,3,19
lLN2X05_R,7205759406172991312,VL2p,3,1,2
lLN2X05_R,7205759406172991312,VM1,16,0,16
lLN2X05_R,7205759406172991312,VM2,1,0,1
lLN2X05_R,7205759406172991312,VM5d,7,1,6
lLN2X05_R,7205759406172991312,VM5v,7,0,7
lLN2X05_R,7205759406172991312,VM7d,22,4,18
lLN2X05_R,7205759406172991312,VM7v,16,2,14
