LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_d_L,7205759406183856201,DA1,33,9,24
lLN2T_d_L,7205759406183856201,DC2,8,1,7
lLN2T_d_L,7205759406183856201,DC3,20,1,19
lLN2T_d_L,7205759406183856201,DC4,1,1,0
lLN2T_d_L,7205759406183856201,DL2d,55,6,49
lLN2T_d_L,7205759406183856201,DL2v,151,21,130
lLN2T_d_L,7205759406183856201,DM1,366,95,271
lLN2T_d_L,7205759406183856201,DM2,115,26,89
lLN2T_d_L,7205759406183856201,DM3,45,13,32
lLN2T_d_L,7205759406183856201,DM4,70,34,36
lLN2T_d_L,7205759406183856201,DM5,44,15,29
lLN2T_d_L,7205759406183856201,DM6,43,14,29
lLN2T_d_L,7205759406183856201,DP1l,230,36,194
lLN2T_d_L,7205759406183856201,DP1m,484,69,415
lLN2T_d_L,7205759406183856201,VA1d,1,0,1
lLN2T_d_L,7205759406183856201,VA1v,1,0,1
lLN2T_d_L,7205759406183856201,VA2,68,19,49
lLN2T_d_L,7205759406183856201,VA3,51,3,48
lLN2T_d_L,7205759406183856201,VA4,78,15,63
lLN2T_d_L,7205759406183856201,VA6,26,4,22
lLN2T_d_L,7205759406183856201,VA7m,2,0,2
lLN2T_d_L,7205759406183856201,VC2,1,1,0
lLN2T_d_L,7205759406183856201,VC3l,22,7,15
lLN2T_d_L,7205759406183856201,VC3m,1,1,0
lLN2T_d_L,7205759406183856201,VC4,16,1,15
lLN2T_d_L,7205759406183856201,VL1,19,19,0
lLN2T_d_L,7205759406183856201,VL2a,68,7,61
lLN2T_d_L,7205759406183856201,VL2p,76,24,52
lLN2T_d_L,7205759406183856201,VM2,33,7,26
lLN2T_d_L,7205759406183856201,VM3,51,14,37
lLN2T_d_L,7205759406183856201,VM5d,38,10,28
lLN2T_d_L,7205759406183856201,VM5v,11,2,9
lLN2T_d_L,7205759406183856201,VM7d,26,9,17
