LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN3A1_b_R,7205759406184585132,D,11,6,5
v2LN3A1_b_R,7205759406184585132,DC1,17,17,0
v2LN3A1_b_R,7205759406184585132,DC2,15,13,2
v2LN3A1_b_R,7205759406184585132,DC3,5,5,0
v2LN3A1_b_R,7205759406184585132,DC4,13,8,5
v2LN3A1_b_R,7205759406184585132,DL2d,7,6,1
v2LN3A1_b_R,7205759406184585132,DL2v,27,26,1
v2LN3A1_b_R,7205759406184585132,DL5,58,56,2
v2LN3A1_b_R,7205759406184585132,DM1,37,29,8
v2LN3A1_b_R,7205759406184585132,DM2,1,1,0
v2LN3A1_b_R,7205759406184585132,DM3,2,1,1
v2LN3A1_b_R,7205759406184585132,DM4,33,24,9
v2LN3A1_b_R,7205759406184585132,DM5,4,3,1
v2LN3A1_b_R,7205759406184585132,DM6,2,1,1
v2LN3A1_b_R,7205759406184585132,DP1l,6,5,1
v2LN3A1_b_R,7205759406184585132,DP1m,19,18,1
v2LN3A1_b_R,7205759406184585132,VA2,57,8,49
v2LN3A1_b_R,7205759406184585132,VA3,1,1,0
v2LN3A1_b_R,7205759406184585132,VA4,9,9,0
v2LN3A1_b_R,7205759406184585132,VA7l,7,5,2
v2LN3A1_b_R,7205759406184585132,VA7m,2,2,0
v2LN3A1_b_R,7205759406184585132,VC1,49,39,10
v2LN3A1_b_R,7205759406184585132,VC3l,11,10,1
v2LN3A1_b_R,7205759406184585132,VC4,3,3,0
v2LN3A1_b_R,7205759406184585132,VL2a,4,4,0
v2LN3A1_b_R,7205759406184585132,VM2,6,3,3
v2LN3A1_b_R,7205759406184585132,VM3,1,1,0
v2LN3A1_b_R,7205759406184585132,VM7d,2,1,1
