LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN1_a_R,7205759406215427472,D,6,0,6
lLN1_a_R,7205759406215427472,DA2,14,5,9
lLN1_a_R,7205759406215427472,DC1,3,1,2
lLN1_a_R,7205759406215427472,DC4,12,7,5
lLN1_a_R,7205759406215427472,DL1,4,0,4
lLN1_a_R,7205759406215427472,DL2d,3,1,2
lLN1_a_R,7205759406215427472,DL2v,2,0,2
lLN1_a_R,7205759406215427472,DL5,11,5,6
lLN1_a_R,7205759406215427472,DM1,7,1,6
lLN1_a_R,7205759406215427472,DM2,7,3,4
lLN1_a_R,7205759406215427472,DM4,10,8,2
lLN1_a_R,7205759406215427472,DP1l,10,0,10
lLN1_a_R,7205759406215427472,DP1m,7,1,6
lLN1_a_R,7205759406215427472,V,2,2,0
lLN1_a_R,7205759406215427472,VA2,3,0,3
lLN1_a_R,7205759406215427472,VA5,2,0,2
lLN1_a_R,7205759406215427472,VA6,12,0,12
lLN1_a_R,7205759406215427472,VC1,7,0,7
lLN1_a_R,7205759406215427472,VC2,1,0,1
lLN1_a_R,7205759406215427472,VC3m,1,1,0
lLN1_a_R,7205759406215427472,VC5,5,0,5
lLN1_a_R,7205759406215427472,VL2a,3,0,3
lLN1_a_R,7205759406215427472,VL2p,2,2,0
lLN1_a_R,7205759406215427472,VM1,3,2,1
lLN1_a_R,7205759406215427472,VM2,3,0,3
lLN1_a_R,7205759406215427472,VM4,3,1,2
lLN1_a_R,7205759406215427472,VM5v,3,3,0
lLN1_a_R,7205759406215427472,VM7d,5,2,3
lLN1_a_R,7205759406215427472,VM7v,2,0,2
