LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_e_R,7205759406215518542,D,9,4,5
lLN2T_e_R,7205759406215518542,DA1,28,10,18
lLN2T_e_R,7205759406215518542,DA2,12,8,4
lLN2T_e_R,7205759406215518542,DA4l,6,2,4
lLN2T_e_R,7205759406215518542,DA4m,3,0,3
lLN2T_e_R,7205759406215518542,DC1,15,7,8
lLN2T_e_R,7205759406215518542,DC2,19,8,11
lLN2T_e_R,7205759406215518542,DC3,9,7,2
lLN2T_e_R,7205759406215518542,DC4,6,4,2
lLN2T_e_R,7205759406215518542,DL1,6,4,2
lLN2T_e_R,7205759406215518542,DL2d,2,0,2
lLN2T_e_R,7205759406215518542,DL2v,2,1,1
lLN2T_e_R,7205759406215518542,DL3,12,1,11
lLN2T_e_R,7205759406215518542,DL4,18,11,7
lLN2T_e_R,7205759406215518542,DL5,24,15,9
lLN2T_e_R,7205759406215518542,DM1,59,27,32
lLN2T_e_R,7205759406215518542,DM2,19,7,12
lLN2T_e_R,7205759406215518542,DM3,25,12,13
lLN2T_e_R,7205759406215518542,DM4,13,4,9
lLN2T_e_R,7205759406215518542,DM5,16,2,14
lLN2T_e_R,7205759406215518542,DM6,48,25,23
lLN2T_e_R,7205759406215518542,DP1l,6,4,2
lLN2T_e_R,7205759406215518542,DP1m,14,9,5
lLN2T_e_R,7205759406215518542,V,3,3,0
lLN2T_e_R,7205759406215518542,VA1d,1,0,1
lLN2T_e_R,7205759406215518542,VA2,34,20,14
lLN2T_e_R,7205759406215518542,VA3,1,0,1
lLN2T_e_R,7205759406215518542,VA4,14,7,7
lLN2T_e_R,7205759406215518542,VA5,9,2,7
lLN2T_e_R,7205759406215518542,VA6,44,5,39
lLN2T_e_R,7205759406215518542,VA7l,2,1,1
lLN2T_e_R,7205759406215518542,VA7m,8,6,2
lLN2T_e_R,7205759406215518542,VC1,10,2,8
lLN2T_e_R,7205759406215518542,VC2,31,9,22
lLN2T_e_R,7205759406215518542,VC3l,3,1,2
lLN2T_e_R,7205759406215518542,VC3m,34,4,30
lLN2T_e_R,7205759406215518542,VC4,5,3,2
lLN2T_e_R,7205759406215518542,VC5,51,10,41
lLN2T_e_R,7205759406215518542,VL1,3,3,0
lLN2T_e_R,7205759406215518542,VL2a,5,2,3
lLN2T_e_R,7205759406215518542,VL2p,5,1,4
lLN2T_e_R,7205759406215518542,VM1,12,4,8
lLN2T_e_R,7205759406215518542,VM2,10,5,5
lLN2T_e_R,7205759406215518542,VM3,1,0,1
lLN2T_e_R,7205759406215518542,VM4,17,4,13
lLN2T_e_R,7205759406215518542,VM5d,31,13,18
lLN2T_e_R,7205759406215518542,VM5v,19,12,7
lLN2T_e_R,7205759406215518542,VM7d,10,5,5
lLN2T_e_R,7205759406215518542,VM7v,9,8,1
