LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN1_bc_R,7205759406223387422,D,1,0,1
lLN1_bc_R,7205759406223387422,DA1,1,1,0
lLN1_bc_R,7205759406223387422,DA2,3,1,2
lLN1_bc_R,7205759406223387422,DC1,4,3,1
lLN1_bc_R,7205759406223387422,DC2,1,1,0
lLN1_bc_R,7205759406223387422,DC4,7,3,4
lLN1_bc_R,7205759406223387422,DL2d,1,1,0
lLN1_bc_R,7205759406223387422,DL2v,9,4,5
lLN1_bc_R,7205759406223387422,DL5,3,3,0
lLN1_bc_R,7205759406223387422,DM1,1,0,1
lLN1_bc_R,7205759406223387422,VA6,4,1,3
lLN1_bc_R,7205759406223387422,VA7m,2,2,0
lLN1_bc_R,7205759406223387422,VC1,2,0,2
lLN1_bc_R,7205759406223387422,VC4,2,1,1
lLN1_bc_R,7205759406223387422,VL1,1,1,0
lLN1_bc_R,7205759406223387422,VM5v,2,2,0
lLN1_bc_R,7205759406223387422,VM7d,1,1,0
