LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN1_bc_L,7205759406229200741,DA3,1,0,1
lLN1_bc_L,7205759406229200741,DA4l,2,0,2
lLN1_bc_L,7205759406229200741,DA4m,4,2,2
lLN1_bc_L,7205759406229200741,DC1,4,2,2
lLN1_bc_L,7205759406229200741,DC3,1,1,0
lLN1_bc_L,7205759406229200741,DC4,4,1,3
lLN1_bc_L,7205759406229200741,DL1,2,2,0
lLN1_bc_L,7205759406229200741,DL2d,4,1,3
lLN1_bc_L,7205759406229200741,DL2v,5,5,0
lLN1_bc_L,7205759406229200741,DM1,2,1,1
lLN1_bc_L,7205759406229200741,DM3,3,0,3
lLN1_bc_L,7205759406229200741,DM4,1,1,0
lLN1_bc_L,7205759406229200741,DP1l,3,2,1
lLN1_bc_L,7205759406229200741,DP1m,8,4,4
lLN1_bc_L,7205759406229200741,V,5,5,0
lLN1_bc_L,7205759406229200741,VA1d,2,0,2
lLN1_bc_L,7205759406229200741,VA2,90,20,70
lLN1_bc_L,7205759406229200741,VA6,6,2,4
lLN1_bc_L,7205759406229200741,VC5,2,0,2
lLN1_bc_L,7205759406229200741,VL1,1,1,0
