LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2F_b_L,7205759406230008581,D,169,12,157
lLN2F_b_L,7205759406230008581,DA1,211,12,199
lLN2F_b_L,7205759406230008581,DA2,8,2,6
lLN2F_b_L,7205759406230008581,DA3,25,0,25
lLN2F_b_L,7205759406230008581,DA4l,58,2,56
lLN2F_b_L,7205759406230008581,DA4m,14,1,13
lLN2F_b_L,7205759406230008581,DC1,223,23,200
lLN2F_b_L,7205759406230008581,DC2,245,7,238
lLN2F_b_L,7205759406230008581,DC3,128,4,124
lLN2F_b_L,7205759406230008581,DC4,421,90,331
lLN2F_b_L,7205759406230008581,DL1,263,29,234
lLN2F_b_L,7205759406230008581,DL2d,58,2,56
lLN2F_b_L,7205759406230008581,DL2v,274,24,250
lLN2F_b_L,7205759406230008581,DL3,28,3,25
lLN2F_b_L,7205759406230008581,DL4,88,5,83
lLN2F_b_L,7205759406230008581,DL5,245,23,222
lLN2F_b_L,7205759406230008581,DM1,578,101,477
lLN2F_b_L,7205759406230008581,DM2,187,39,148
lLN2F_b_L,7205759406230008581,DM3,155,24,131
lLN2F_b_L,7205759406230008581,DM4,221,39,182
lLN2F_b_L,7205759406230008581,DM5,26,6,20
lLN2F_b_L,7205759406230008581,DM6,137,25,112
lLN2F_b_L,7205759406230008581,DP1l,281,40,241
lLN2F_b_L,7205759406230008581,DP1m,828,116,712
lLN2F_b_L,7205759406230008581,V,325,325,0
lLN2F_b_L,7205759406230008581,VA1d,64,1,63
lLN2F_b_L,7205759406230008581,VA1v,72,7,65
lLN2F_b_L,7205759406230008581,VA2,309,23,286
lLN2F_b_L,7205759406230008581,VA3,200,3,197
lLN2F_b_L,7205759406230008581,VA4,177,23,154
lLN2F_b_L,7205759406230008581,VA5,22,4,18
lLN2F_b_L,7205759406230008581,VA6,164,13,151
lLN2F_b_L,7205759406230008581,VA7l,27,1,26
lLN2F_b_L,7205759406230008581,VA7m,74,2,72
lLN2F_b_L,7205759406230008581,VC1,160,19,141
lLN2F_b_L,7205759406230008581,VC2,56,5,51
lLN2F_b_L,7205759406230008581,VC3l,344,33,311
lLN2F_b_L,7205759406230008581,VC3m,171,24,147
lLN2F_b_L,7205759406230008581,VC4,150,10,140
lLN2F_b_L,7205759406230008581,VC5,240,85,155
lLN2F_b_L,7205759406230008581,VL2a,137,6,131
lLN2F_b_L,7205759406230008581,VL2p,113,9,104
lLN2F_b_L,7205759406230008581,VM1,172,12,160
lLN2F_b_L,7205759406230008581,VM2,23,3,20
lLN2F_b_L,7205759406230008581,VM3,49,8,41
lLN2F_b_L,7205759406230008581,VM4,76,6,70
lLN2F_b_L,7205759406230008581,VM5d,414,45,369
lLN2F_b_L,7205759406230008581,VM5v,160,10,150
lLN2F_b_L,7205759406230008581,VM7d,196,42,154
lLN2F_b_L,7205759406230008581,VM7v,172,59,113
