LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
il3LN6_L,7205759406236367011,D,172,6,166
il3LN6_L,7205759406236367011,DA1,392,9,383
il3LN6_L,7205759406236367011,DA2,33,1,32
il3LN6_L,7205759406236367011,DA4l,13,0,13
il3LN6_L,7205759406236367011,DA4m,16,0,16
il3LN6_L,7205759406236367011,DC1,224,10,214
il3LN6_L,7205759406236367011,DC2,130,3,127
il3LN6_L,7205759406236367011,DC3,89,6,83
il3LN6_L,7205759406236367011,DC4,47,0,47
il3LN6_L,7205759406236367011,DL1,332,32,300
il3LN6_L,7205759406236367011,DL2d,100,7,93
il3LN6_L,7205759406236367011,DL2v,131,10,121
il3LN6_L,7205759406236367011,DL5,191,12,179
il3LN6_L,7205759406236367011,DM1,579,70,509
il3LN6_L,7205759406236367011,DM2,174,11,163
il3LN6_L,7205759406236367011,DM3,107,9,98
il3LN6_L,7205759406236367011,DM4,289,39,250
il3LN6_L,7205759406236367011,DM5,46,1,45
il3LN6_L,7205759406236367011,DM6,138,10,128
il3LN6_L,7205759406236367011,DP1l,629,40,589
il3LN6_L,7205759406236367011,DP1m,1034,79,955
il3LN6_L,7205759406236367011,VA1d,129,4,125
il3LN6_L,7205759406236367011,VA1v,121,23,98
il3LN6_L,7205759406236367011,VA2,385,38,347
il3LN6_L,7205759406236367011,VA3,192,9,183
il3LN6_L,7205759406236367011,VA4,116,5,111
il3LN6_L,7205759406236367011,VA5,19,1,18
il3LN6_L,7205759406236367011,VA6,233,5,228
il3LN6_L,7205759406236367011,VA7l,40,1,39
il3LN6_L,7205759406236367011,VA7m,35,0,35
il3LN6_L,7205759406236367011,VC1,256,28,228
il3LN6_L,7205759406236367011,VC2,144,13,131
il3LN6_L,7205759406236367011,VC3l,117,5,112
il3LN6_L,7205759406236367011,VC3m,310,21,289
il3LN6_L,7205759406236367011,VC4,176,2,174
il3LN6_L,7205759406236367011,VC5,235,21,214
il3LN6_L,7205759406236367011,VL2a,374,15,359
il3LN6_L,7205759406236367011,VL2p,262,6,256
il3LN6_L,7205759406236367011,VM1,250,22,228
il3LN6_L,7205759406236367011,VM2,60,4,56
il3LN6_L,7205759406236367011,VM3,102,3,99
il3LN6_L,7205759406236367011,VM4,183,11,172
il3LN6_L,7205759406236367011,VM5d,66,6,60
il3LN6_L,7205759406236367011,VM5v,5,0,5
il3LN6_L,7205759406236367011,VM7d,203,10,193
il3LN6_L,7205759406236367011,VM7v,165,28,137
