LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2P_b_R,7205759406236508232,D,1,0,1
lLN2P_b_R,7205759406236508232,DA2,43,26,17
lLN2P_b_R,7205759406236508232,DA4m,71,36,35
lLN2P_b_R,7205759406236508232,DC3,10,1,9
lLN2P_b_R,7205759406236508232,DC4,83,32,51
lLN2P_b_R,7205759406236508232,DL2d,10,4,6
lLN2P_b_R,7205759406236508232,DL3,106,22,84
lLN2P_b_R,7205759406236508232,DL4,13,3,10
lLN2P_b_R,7205759406236508232,DM1,40,21,19
lLN2P_b_R,7205759406236508232,DM3,42,17,25
lLN2P_b_R,7205759406236508232,DM4,40,15,25
lLN2P_b_R,7205759406236508232,DM6,61,24,37
lLN2P_b_R,7205759406236508232,DP1l,4,3,1
lLN2P_b_R,7205759406236508232,DP1m,3,3,0
lLN2P_b_R,7205759406236508232,V,58,58,0
lLN2P_b_R,7205759406236508232,VA1d,9,7,2
lLN2P_b_R,7205759406236508232,VA2,21,1,20
lLN2P_b_R,7205759406236508232,VA3,20,1,19
lLN2P_b_R,7205759406236508232,VA5,13,4,9
lLN2P_b_R,7205759406236508232,VA6,43,17,26
lLN2P_b_R,7205759406236508232,VA7l,1,1,0
lLN2P_b_R,7205759406236508232,VC1,6,5,1
lLN2P_b_R,7205759406236508232,VC2,2,0,2
lLN2P_b_R,7205759406236508232,VC3l,80,22,58
lLN2P_b_R,7205759406236508232,VL2a,10,3,7
lLN2P_b_R,7205759406236508232,VL2p,21,6,15
lLN2P_b_R,7205759406236508232,VM3,2,1,1
lLN2P_b_R,7205759406236508232,VM4,48,14,34
lLN2P_b_R,7205759406236508232,VM5d,90,18,72
lLN2P_b_R,7205759406236508232,VM5v,4,1,3
lLN2P_b_R,7205759406236508232,VM7d,145,27,118
lLN2P_b_R,7205759406236508232,VM7v,28,8,20
