LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN3A1_a_R,7205759406260513672,D,1,0,1
v2LN3A1_a_R,7205759406260513672,DC2,4,4,0
v2LN3A1_a_R,7205759406260513672,DC3,2,2,0
v2LN3A1_a_R,7205759406260513672,DC4,29,18,11
v2LN3A1_a_R,7205759406260513672,DL5,5,4,1
v2LN3A1_a_R,7205759406260513672,DM1,17,14,3
v2LN3A1_a_R,7205759406260513672,DM2,6,6,0
v2LN3A1_a_R,7205759406260513672,DM4,2,1,1
v2LN3A1_a_R,7205759406260513672,DP1m,34,21,13
v2LN3A1_a_R,7205759406260513672,V,2,2,0
v2LN3A1_a_R,7205759406260513672,VA2,6,6,0
v2LN3A1_a_R,7205759406260513672,VC4,1,1,0
v2LN3A1_a_R,7205759406260513672,VM1,1,1,0
v2LN3A1_a_R,7205759406260513672,VM5d,2,2,0
v2LN3A1_a_R,7205759406260513672,VM7v,2,0,2
