LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
ALBN1_L,7205759406280236851,D,24,22,2
ALBN1_L,7205759406280236851,DA1,46,39,7
ALBN1_L,7205759406280236851,DC1,104,102,2
ALBN1_L,7205759406280236851,DC2,10,8,2
ALBN1_L,7205759406280236851,DC4,346,328,18
ALBN1_L,7205759406280236851,DL1,12,12,0
ALBN1_L,7205759406280236851,DL2d,1,1,0
ALBN1_L,7205759406280236851,DL2v,3,3,0
ALBN1_L,7205759406280236851,DL5,68,58,10
ALBN1_L,7205759406280236851,DM1,286,275,11
ALBN1_L,7205759406280236851,DM2,56,56,0
ALBN1_L,7205759406280236851,DM3,33,31,2
ALBN1_L,7205759406280236851,DM4,125,111,14
ALBN1_L,7205759406280236851,DM6,13,12,1
ALBN1_L,7205759406280236851,DP1l,108,105,3
ALBN1_L,7205759406280236851,DP1m,1241,1156,85
ALBN1_L,7205759406280236851,VA2,107,103,4
ALBN1_L,7205759406280236851,VA3,19,19,0
ALBN1_L,7205759406280236851,VA4,17,15,2
ALBN1_L,7205759406280236851,VA5,2,2,0
ALBN1_L,7205759406280236851,VA6,46,46,0
ALBN1_L,7205759406280236851,VA7m,2,2,0
ALBN1_L,7205759406280236851,VC1,12,12,0
ALBN1_L,7205759406280236851,VC2,1,1,0
ALBN1_L,7205759406280236851,VC3m,27,27,0
ALBN1_L,7205759406280236851,VC4,27,23,4
ALBN1_L,7205759406280236851,VC5,55,52,3
ALBN1_L,7205759406280236851,VL2a,6,6,0
ALBN1_L,7205759406280236851,VL2p,7,7,0
ALBN1_L,7205759406280236851,VM3,17,17,0
ALBN1_L,7205759406280236851,VM5d,30,29,1
ALBN1_L,7205759406280236851,VM7d,232,219,13
