LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2P_c_L,7205759406283436341,D,1,1,0
lLN2P_c_L,7205759406283436341,DA1,23,6,17
lLN2P_c_L,7205759406283436341,DA3,11,3,8
lLN2P_c_L,7205759406283436341,DA4l,21,12,9
lLN2P_c_L,7205759406283436341,DA4m,10,4,6
lLN2P_c_L,7205759406283436341,DC2,44,5,39
lLN2P_c_L,7205759406283436341,DC4,1,0,1
lLN2P_c_L,7205759406283436341,DL4,5,1,4
lLN2P_c_L,7205759406283436341,DL5,71,31,40
lLN2P_c_L,7205759406283436341,DM1,13,8,5
lLN2P_c_L,7205759406283436341,DM2,88,20,68
lLN2P_c_L,7205759406283436341,DM3,25,8,17
lLN2P_c_L,7205759406283436341,DP1m,6,4,2
lLN2P_c_L,7205759406283436341,VA1d,1,1,0
lLN2P_c_L,7205759406283436341,VA1v,2,1,1
lLN2P_c_L,7205759406283436341,VA2,30,11,19
lLN2P_c_L,7205759406283436341,VA3,10,2,8
lLN2P_c_L,7205759406283436341,VA4,22,4,18
lLN2P_c_L,7205759406283436341,VA5,1,1,0
lLN2P_c_L,7205759406283436341,VC1,3,1,2
lLN2P_c_L,7205759406283436341,VC4,2,0,2
lLN2P_c_L,7205759406283436341,VC5,43,20,23
lLN2P_c_L,7205759406283436341,VL2a,4,2,2
lLN2P_c_L,7205759406283436341,VM2,1,1,0
lLN2P_c_L,7205759406283436341,VM4,3,1,2
lLN2P_c_L,7205759406283436341,VM5d,18,4,14
lLN2P_c_L,7205759406283436341,VM5v,14,2,12
lLN2P_c_L,7205759406283436341,VM7d,2,1,1
lLN2P_c_L,7205759406283436341,VM7v,18,8,10
