LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
vLN25_R,7205759406285735192,DC3,8,7,1
vLN25_R,7205759406285735192,DL1,9,9,0
vLN25_R,7205759406285735192,DL2d,2,2,0
vLN25_R,7205759406285735192,DL2v,12,12,0
vLN25_R,7205759406285735192,DP1l,278,259,19
vLN25_R,7205759406285735192,DP1m,7,7,0
vLN25_R,7205759406285735192,VA3,42,42,0
vLN25_R,7205759406285735192,VA5,3,3,0
vLN25_R,7205759406285735192,VA7l,9,9,0
vLN25_R,7205759406285735192,VC3m,71,62,9
vLN25_R,7205759406285735192,VC5,104,102,2
vLN25_R,7205759406285735192,VL2a,104,93,11
vLN25_R,7205759406285735192,VL2p,164,161,3
vLN25_R,7205759406285735192,VM1,109,100,9
vLN25_R,7205759406285735192,VM4,56,40,16
