LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
LN60b_L,7205759406289146921,DC1,2,1,1
LN60b_L,7205759406289146921,DC2,4,1,3
LN60b_L,7205759406289146921,DC4,9,3,6
LN60b_L,7205759406289146921,DL1,2,2,0
LN60b_L,7205759406289146921,DL2d,29,23,6
LN60b_L,7205759406289146921,DL2v,94,58,36
LN60b_L,7205759406289146921,DL5,3,3,0
LN60b_L,7205759406289146921,DM1,12,10,2
LN60b_L,7205759406289146921,DM2,7,2,5
LN60b_L,7205759406289146921,DM3,14,12,2
LN60b_L,7205759406289146921,DM4,5,4,1
LN60b_L,7205759406289146921,DM5,1,1,0
LN60b_L,7205759406289146921,DP1l,72,62,10
LN60b_L,7205759406289146921,DP1m,179,141,38
LN60b_L,7205759406289146921,VA2,8,6,2
LN60b_L,7205759406289146921,VA3,6,6,0
LN60b_L,7205759406289146921,VA4,1,1,0
LN60b_L,7205759406289146921,VA6,1,1,0
LN60b_L,7205759406289146921,VA7l,1,1,0
LN60b_L,7205759406289146921,VA7m,2,2,0
LN60b_L,7205759406289146921,VC1,29,28,1
LN60b_L,7205759406289146921,VC2,5,5,0
LN60b_L,7205759406289146921,VC4,8,7,1
LN60b_L,7205759406289146921,VL2a,4,4,0
LN60b_L,7205759406289146921,VM2,7,7,0
LN60b_L,7205759406289146921,VM3,4,2,2
LN60b_L,7205759406289146921,VM5v,13,9,4
LN60b_L,7205759406289146921,VM7d,92,73,19
LN60b_L,7205759406289146921,VM7v,10,8,2
