LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_b_R,7205759406304073882,D,140,22,118
lLN2T_b_R,7205759406304073882,DA1,365,52,313
lLN2T_b_R,7205759406304073882,DA2,3,1,2
lLN2T_b_R,7205759406304073882,DA4m,12,0,12
lLN2T_b_R,7205759406304073882,DC1,226,34,192
lLN2T_b_R,7205759406304073882,DC2,198,29,169
lLN2T_b_R,7205759406304073882,DC3,147,41,106
lLN2T_b_R,7205759406304073882,DC4,4,0,4
lLN2T_b_R,7205759406304073882,DL1,203,44,159
lLN2T_b_R,7205759406304073882,DL2d,121,39,82
lLN2T_b_R,7205759406304073882,DL2v,77,10,67
lLN2T_b_R,7205759406304073882,DL3,119,49,70
lLN2T_b_R,7205759406304073882,DL5,228,77,151
lLN2T_b_R,7205759406304073882,DM1,437,91,346
lLN2T_b_R,7205759406304073882,DM2,177,26,151
lLN2T_b_R,7205759406304073882,DM4,371,125,246
lLN2T_b_R,7205759406304073882,DM5,70,13,57
lLN2T_b_R,7205759406304073882,DM6,186,59,127
lLN2T_b_R,7205759406304073882,DP1l,165,41,124
lLN2T_b_R,7205759406304073882,DP1m,620,138,482
lLN2T_b_R,7205759406304073882,V,69,69,0
lLN2T_b_R,7205759406304073882,VA1d,225,24,201
lLN2T_b_R,7205759406304073882,VA1v,126,15,111
lLN2T_b_R,7205759406304073882,VA2,333,49,284
lLN2T_b_R,7205759406304073882,VA3,88,31,57
lLN2T_b_R,7205759406304073882,VA4,177,22,155
lLN2T_b_R,7205759406304073882,VA5,6,1,5
lLN2T_b_R,7205759406304073882,VA6,273,42,231
lLN2T_b_R,7205759406304073882,VA7m,6,4,2
lLN2T_b_R,7205759406304073882,VC1,149,28,121
lLN2T_b_R,7205759406304073882,VC2,56,11,45
lLN2T_b_R,7205759406304073882,VC3l,255,75,180
lLN2T_b_R,7205759406304073882,VC3m,106,22,84
lLN2T_b_R,7205759406304073882,VC5,25,9,16
lLN2T_b_R,7205759406304073882,VL2a,286,43,243
lLN2T_b_R,7205759406304073882,VL2p,55,13,42
lLN2T_b_R,7205759406304073882,VM1,19,3,16
lLN2T_b_R,7205759406304073882,VM2,48,10,38
lLN2T_b_R,7205759406304073882,VM3,75,12,63
lLN2T_b_R,7205759406304073882,VM4,8,4,4
lLN2T_b_R,7205759406304073882,VM5d,131,27,104
lLN2T_b_R,7205759406304073882,VM5v,137,46,91
lLN2T_b_R,7205759406304073882,VM7d,88,25,63
lLN2T_b_R,7205759406304073882,VM7v,36,13,23
