LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN1_a_L,7205759406315868581,D,3,1,2
lLN1_a_L,7205759406315868581,DA1,1,0,1
lLN1_a_L,7205759406315868581,DA2,1,0,1
lLN1_a_L,7205759406315868581,DC1,11,3,8
lLN1_a_L,7205759406315868581,DC4,1,1,0
lLN1_a_L,7205759406315868581,DL2d,1,1,0
lLN1_a_L,7205759406315868581,DL2v,2,2,0
lLN1_a_L,7205759406315868581,DL5,5,0,5
lLN1_a_L,7205759406315868581,DM1,3,1,2
lLN1_a_L,7205759406315868581,DM3,4,4,0
lLN1_a_L,7205759406315868581,DM4,1,1,0
lLN1_a_L,7205759406315868581,DP1l,2,1,1
lLN1_a_L,7205759406315868581,DP1m,53,4,49
lLN1_a_L,7205759406315868581,V,1,1,0
lLN1_a_L,7205759406315868581,VA6,2,0,2
lLN1_a_L,7205759406315868581,VC2,8,1,7
lLN1_a_L,7205759406315868581,VC3m,5,0,5
lLN1_a_L,7205759406315868581,VC5,1,0,1
lLN1_a_L,7205759406315868581,VL2a,2,2,0
lLN1_a_L,7205759406315868581,VM2,1,1,0
lLN1_a_L,7205759406315868581,VM3,1,1,0
lLN1_a_L,7205759406315868581,VM5d,7,2,5
lLN1_a_L,7205759406315868581,VM7d,4,4,0
