LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
CB3417_R,7205759406318583732,DC4,4,4,0
CB3417_R,7205759406318583732,DL1,1,1,0
CB3417_R,7205759406318583732,DL2d,3,0,3
CB3417_R,7205759406318583732,DL2v,3,1,2
CB3417_R,7205759406318583732,DL5,5,1,4
CB3417_R,7205759406318583732,DM1,1,1,0
CB3417_R,7205759406318583732,DM4,6,1,5
CB3417_R,7205759406318583732,DM5,9,0,9
CB3417_R,7205759406318583732,DP1m,1,0,1
CB3417_R,7205759406318583732,V,1,1,0
CB3417_R,7205759406318583732,VA2,5,2,3
CB3417_R,7205759406318583732,VA7m,1,0,1
CB3417_R,7205759406318583732,VC3l,2,0,2
CB3417_R,7205759406318583732,VC3m,2,1,1
CB3417_R,7205759406318583732,VC4,1,1,0
CB3417_R,7205759406318583732,VC5,27,10,17
CB3417_R,7205759406318583732,VL2a,1,0,1
CB3417_R,7205759406318583732,VL2p,1,0,1
CB3417_R,7205759406318583732,VM2,19,6,13
CB3417_R,7205759406318583732,VM3,2,0,2
CB3417_R,7205759406318583732,VM5v,1,0,1
