LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
LN60b_R,7205759406320079832,D,1,1,0
LN60b_R,7205759406320079832,DC2,2,2,0
LN60b_R,7205759406320079832,DC3,7,7,0
LN60b_R,7205759406320079832,DC4,23,19,4
LN60b_R,7205759406320079832,DL1,3,2,1
LN60b_R,7205759406320079832,DL2d,13,13,0
LN60b_R,7205759406320079832,DL2v,98,74,24
LN60b_R,7205759406320079832,DL5,3,3,0
LN60b_R,7205759406320079832,DM1,20,17,3
LN60b_R,7205759406320079832,DM2,3,2,1
LN60b_R,7205759406320079832,DM3,36,31,5
LN60b_R,7205759406320079832,DM4,16,14,2
LN60b_R,7205759406320079832,DM5,1,1,0
LN60b_R,7205759406320079832,DP1l,42,32,10
LN60b_R,7205759406320079832,DP1m,192,165,27
LN60b_R,7205759406320079832,VA2,15,12,3
LN60b_R,7205759406320079832,VA3,13,11,2
LN60b_R,7205759406320079832,VA4,8,7,1
LN60b_R,7205759406320079832,VA6,3,3,0
LN60b_R,7205759406320079832,VC1,27,26,1
LN60b_R,7205759406320079832,VC2,4,4,0
LN60b_R,7205759406320079832,VC3l,9,8,1
LN60b_R,7205759406320079832,VC4,9,5,4
LN60b_R,7205759406320079832,VL1,8,8,0
LN60b_R,7205759406320079832,VM2,11,7,4
LN60b_R,7205759406320079832,VM3,1,1,0
LN60b_R,7205759406320079832,VM5d,16,16,0
LN60b_R,7205759406320079832,VM5v,34,29,5
LN60b_R,7205759406320079832,VM7d,64,54,10
LN60b_R,7205759406320079832,VM7v,20,19,1
