LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
il3LN6_R,7205759406324039862,D,118,2,116
il3LN6_R,7205759406324039862,DA1,748,47,701
il3LN6_R,7205759406324039862,DA2,33,1,32
il3LN6_R,7205759406324039862,DA4l,10,0,10
il3LN6_R,7205759406324039862,DA4m,12,0,12
il3LN6_R,7205759406324039862,DC1,203,9,194
il3LN6_R,7205759406324039862,DC2,125,5,120
il3LN6_R,7205759406324039862,DC3,107,6,101
il3LN6_R,7205759406324039862,DC4,292,20,272
il3LN6_R,7205759406324039862,DL1,239,15,224
il3LN6_R,7205759406324039862,DL2d,134,1,133
il3LN6_R,7205759406324039862,DL2v,208,16,192
il3LN6_R,7205759406324039862,DL5,256,16,240
il3LN6_R,7205759406324039862,DM1,721,76,645
il3LN6_R,7205759406324039862,DM2,94,7,87
il3LN6_R,7205759406324039862,DM3,155,12,143
il3LN6_R,7205759406324039862,DM4,248,26,222
il3LN6_R,7205759406324039862,DM5,34,0,34
il3LN6_R,7205759406324039862,DM6,140,12,128
il3LN6_R,7205759406324039862,DP1l,572,26,546
il3LN6_R,7205759406324039862,DP1m,1218,104,1114
il3LN6_R,7205759406324039862,V,18,18,0
il3LN6_R,7205759406324039862,VA1d,137,2,135
il3LN6_R,7205759406324039862,VA1v,181,3,178
il3LN6_R,7205759406324039862,VA2,184,8,176
il3LN6_R,7205759406324039862,VA3,102,4,98
il3LN6_R,7205759406324039862,VA4,116,1,115
il3LN6_R,7205759406324039862,VA5,32,0,32
il3LN6_R,7205759406324039862,VA6,173,4,169
il3LN6_R,7205759406324039862,VA7l,35,3,32
il3LN6_R,7205759406324039862,VA7m,25,4,21
il3LN6_R,7205759406324039862,VC1,215,11,204
il3LN6_R,7205759406324039862,VC2,71,2,69
il3LN6_R,7205759406324039862,VC3l,126,10,116
il3LN6_R,7205759406324039862,VC3m,72,6,66
il3LN6_R,7205759406324039862,VC4,69,2,67
il3LN6_R,7205759406324039862,VC5,390,48,342
il3LN6_R,7205759406324039862,VL1,4,4,0
il3LN6_R,7205759406324039862,VL2a,288,7,281
il3LN6_R,7205759406324039862,VL2p,248,3,245
il3LN6_R,7205759406324039862,VM1,169,9,160
il3LN6_R,7205759406324039862,VM2,37,1,36
il3LN6_R,7205759406324039862,VM3,69,0,69
il3LN6_R,7205759406324039862,VM4,255,12,243
il3LN6_R,7205759406324039862,VM5d,51,4,47
il3LN6_R,7205759406324039862,VM5v,1,1,0
il3LN6_R,7205759406324039862,VM7d,80,4,76
il3LN6_R,7205759406324039862,VM7v,125,9,116
