LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_e_L,7205759406324162981,D,24,6,18
lLN2T_e_L,7205759406324162981,DA1,19,7,12
lLN2T_e_L,7205759406324162981,DA2,1,0,1
lLN2T_e_L,7205759406324162981,DA4l,3,0,3
lLN2T_e_L,7205759406324162981,DA4m,5,3,2
lLN2T_e_L,7205759406324162981,DC1,35,25,10
lLN2T_e_L,7205759406324162981,DC2,7,1,6
lLN2T_e_L,7205759406324162981,DC3,29,2,27
lLN2T_e_L,7205759406324162981,DC4,23,11,12
lLN2T_e_L,7205759406324162981,DL1,1,1,0
lLN2T_e_L,7205759406324162981,DL2d,5,2,3
lLN2T_e_L,7205759406324162981,DL2v,6,1,5
lLN2T_e_L,7205759406324162981,DL3,2,1,1
lLN2T_e_L,7205759406324162981,DL4,8,3,5
lLN2T_e_L,7205759406324162981,DL5,6,3,3
lLN2T_e_L,7205759406324162981,DM1,78,40,38
lLN2T_e_L,7205759406324162981,DM2,30,12,18
lLN2T_e_L,7205759406324162981,DM3,26,12,14
lLN2T_e_L,7205759406324162981,DM4,27,12,15
lLN2T_e_L,7205759406324162981,DM5,5,2,3
lLN2T_e_L,7205759406324162981,DM6,25,5,20
lLN2T_e_L,7205759406324162981,DP1l,28,22,6
lLN2T_e_L,7205759406324162981,DP1m,28,12,16
lLN2T_e_L,7205759406324162981,V,6,6,0
lLN2T_e_L,7205759406324162981,VA1d,10,4,6
lLN2T_e_L,7205759406324162981,VA1v,7,3,4
lLN2T_e_L,7205759406324162981,VA2,33,10,23
lLN2T_e_L,7205759406324162981,VA3,14,2,12
lLN2T_e_L,7205759406324162981,VA4,8,4,4
lLN2T_e_L,7205759406324162981,VA5,1,0,1
lLN2T_e_L,7205759406324162981,VA6,13,4,9
lLN2T_e_L,7205759406324162981,VA7l,1,1,0
lLN2T_e_L,7205759406324162981,VA7m,8,3,5
lLN2T_e_L,7205759406324162981,VC1,145,48,97
lLN2T_e_L,7205759406324162981,VC2,9,2,7
lLN2T_e_L,7205759406324162981,VC3l,13,7,6
lLN2T_e_L,7205759406324162981,VC3m,7,6,1
lLN2T_e_L,7205759406324162981,VC4,2,2,0
lLN2T_e_L,7205759406324162981,VC5,3,2,1
lLN2T_e_L,7205759406324162981,VL1,1,1,0
lLN2T_e_L,7205759406324162981,VL2a,27,5,22
lLN2T_e_L,7205759406324162981,VL2p,2,2,0
lLN2T_e_L,7205759406324162981,VM2,19,10,9
lLN2T_e_L,7205759406324162981,VM3,9,3,6
lLN2T_e_L,7205759406324162981,VM4,29,4,25
lLN2T_e_L,7205759406324162981,VM5d,30,15,15
lLN2T_e_L,7205759406324162981,VM5v,6,4,2
lLN2T_e_L,7205759406324162981,VM7d,7,7,0
lLN2T_e_L,7205759406324162981,VM7v,5,1,4
