LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2T_d_R,7205759406328356882,DA1,63,5,58
lLN2T_d_R,7205759406328356882,DC2,7,3,4
lLN2T_d_R,7205759406328356882,DC3,2,1,1
lLN2T_d_R,7205759406328356882,DC4,2,2,0
lLN2T_d_R,7205759406328356882,DL2d,36,8,28
lLN2T_d_R,7205759406328356882,DL2v,109,26,83
lLN2T_d_R,7205759406328356882,DL4,6,1,5
lLN2T_d_R,7205759406328356882,DL5,13,1,12
lLN2T_d_R,7205759406328356882,DM1,215,47,168
lLN2T_d_R,7205759406328356882,DM2,64,12,52
lLN2T_d_R,7205759406328356882,DM3,62,18,44
lLN2T_d_R,7205759406328356882,DM4,71,27,44
lLN2T_d_R,7205759406328356882,DM5,7,0,7
lLN2T_d_R,7205759406328356882,DM6,24,10,14
lLN2T_d_R,7205759406328356882,DP1l,137,28,109
lLN2T_d_R,7205759406328356882,DP1m,340,58,282
lLN2T_d_R,7205759406328356882,VA1d,7,4,3
lLN2T_d_R,7205759406328356882,VA1v,4,1,3
lLN2T_d_R,7205759406328356882,VA2,57,16,41
lLN2T_d_R,7205759406328356882,VA3,34,9,25
lLN2T_d_R,7205759406328356882,VA4,41,11,30
lLN2T_d_R,7205759406328356882,VA6,6,0,6
lLN2T_d_R,7205759406328356882,VA7l,1,1,0
lLN2T_d_R,7205759406328356882,VA7m,8,0,8
lLN2T_d_R,7205759406328356882,VC2,9,7,2
lLN2T_d_R,7205759406328356882,VC3l,25,14,11
lLN2T_d_R,7205759406328356882,VC4,19,8,11
lLN2T_d_R,7205759406328356882,VL1,8,8,0
lLN2T_d_R,7205759406328356882,VL2a,60,9,51
lLN2T_d_R,7205759406328356882,VL2p,32,5,27
lLN2T_d_R,7205759406328356882,VM2,24,9,15
lLN2T_d_R,7205759406328356882,VM3,27,3,24
lLN2T_d_R,7205759406328356882,VM5d,31,12,19
lLN2T_d_R,7205759406328356882,VM5v,13,4,9
lLN2T_d_R,7205759406328356882,VM7d,18,6,12
lLN2T_d_R,7205759406328356882,VM7v,9,2,7
