LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2P_a_R,7205759406343031322,D,51,13,38
lLN2P_a_R,7205759406343031322,DA2,2,1,1
lLN2P_a_R,7205759406343031322,DA4m,13,4,9
lLN2P_a_R,7205759406343031322,DC1,156,55,101
lLN2P_a_R,7205759406343031322,DC4,1,1,0
lLN2P_a_R,7205759406343031322,DL1,215,67,148
lLN2P_a_R,7205759406343031322,DL2d,9,8,1
lLN2P_a_R,7205759406343031322,DL2v,18,9,9
lLN2P_a_R,7205759406343031322,DM6,51,17,34
lLN2P_a_R,7205759406343031322,VA1d,29,14,15
lLN2P_a_R,7205759406343031322,VA1v,2,2,0
lLN2P_a_R,7205759406343031322,VA2,2,2,0
lLN2P_a_R,7205759406343031322,VA3,1,0,1
lLN2P_a_R,7205759406343031322,VA4,40,14,26
lLN2P_a_R,7205759406343031322,VA5,14,1,13
lLN2P_a_R,7205759406343031322,VA6,15,4,11
lLN2P_a_R,7205759406343031322,VA7l,24,8,16
lLN2P_a_R,7205759406343031322,VA7m,2,2,0
lLN2P_a_R,7205759406343031322,VC1,124,42,82
lLN2P_a_R,7205759406343031322,VC2,18,4,14
lLN2P_a_R,7205759406343031322,VC3l,56,13,43
lLN2P_a_R,7205759406343031322,VC5,6,1,5
lLN2P_a_R,7205759406343031322,VL2a,25,8,17
lLN2P_a_R,7205759406343031322,VM7d,24,11,13
lLN2P_a_R,7205759406343031322,VM7v,82,32,50
