LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
v2LN30_L,7205759406359459191,D,40,5,35
v2LN30_L,7205759406359459191,DA1,311,98,213
v2LN30_L,7205759406359459191,DA2,28,1,27
v2LN30_L,7205759406359459191,DA3,13,0,13
v2LN30_L,7205759406359459191,DA4l,30,1,29
v2LN30_L,7205759406359459191,DA4m,3,3,0
v2LN30_L,7205759406359459191,DC1,76,18,58
v2LN30_L,7205759406359459191,DC3,78,21,57
v2LN30_L,7205759406359459191,DL1,22,7,15
v2LN30_L,7205759406359459191,DL2d,110,14,96
v2LN30_L,7205759406359459191,DL2v,84,10,74
v2LN30_L,7205759406359459191,DL3,40,7,33
v2LN30_L,7205759406359459191,DL4,22,5,17
v2LN30_L,7205759406359459191,DM1,1,1,0
v2LN30_L,7205759406359459191,DM2,20,11,9
v2LN30_L,7205759406359459191,DM3,26,9,17
v2LN30_L,7205759406359459191,DM4,7,0,7
v2LN30_L,7205759406359459191,DM5,21,6,15
v2LN30_L,7205759406359459191,DM6,40,18,22
v2LN30_L,7205759406359459191,DP1l,69,14,55
v2LN30_L,7205759406359459191,DP1m,3,3,0
v2LN30_L,7205759406359459191,V,2,2,0
v2LN30_L,7205759406359459191,VA1d,28,8,20
v2LN30_L,7205759406359459191,VA1v,11,9,2
v2LN30_L,7205759406359459191,VA2,48,14,34
v2LN30_L,7205759406359459191,VA3,11,0,11
v2LN30_L,7205759406359459191,VA4,154,42,112
v2LN30_L,7205759406359459191,VA5,16,1,15
v2LN30_L,7205759406359459191,VA6,111,28,83
v2LN30_L,7205759406359459191,VA7l,30,15,15
v2LN30_L,7205759406359459191,VC1,148,53,95
v2LN30_L,7205759406359459191,VC2,63,15,48
v2LN30_L,7205759406359459191,VC3l,5,1,4
v2LN30_L,7205759406359459191,VC3m,51,11,40
v2LN30_L,7205759406359459191,VC4,42,5,37
v2LN30_L,7205759406359459191,VC5,4,4,0
v2LN30_L,7205759406359459191,VL1,17,17,0
v2LN30_L,7205759406359459191,VL2a,133,31,102
v2LN30_L,7205759406359459191,VL2p,10,2,8
v2LN30_L,7205759406359459191,VM1,13,1,12
v2LN30_L,7205759406359459191,VM2,54,19,35
v2LN30_L,7205759406359459191,VM3,62,14,48
v2LN30_L,7205759406359459191,VM4,143,26,117
v2LN30_L,7205759406359459191,VM7d,2,0,2
v2LN30_L,7205759406359459191,VM7v,8,7,1
