LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
vLN25_L,7205759406376026501,DL1,10,10,0
vLN25_L,7205759406376026501,DL2d,2,2,0
vLN25_L,7205759406376026501,DL2v,19,19,0
vLN25_L,7205759406376026501,DP1l,94,85,9
vLN25_L,7205759406376026501,VA3,85,81,4
vLN25_L,7205759406376026501,VA4,16,15,1
vLN25_L,7205759406376026501,VA6,19,19,0
vLN25_L,7205759406376026501,VA7l,33,26,7
vLN25_L,7205759406376026501,VC3m,25,19,6
vLN25_L,7205759406376026501,VC5,26,25,1
vLN25_L,7205759406376026501,VL2a,97,90,7
vLN25_L,7205759406376026501,VL2p,130,126,4
vLN25_L,7205759406376026501,VM1,13,13,0
vLN25_L,7205759406376026501,VM2,1,1,0
