LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2F_a_L,7205759406381284741,D,137,11,126
lLN2F_a_L,7205759406381284741,DA1,113,6,107
lLN2F_a_L,7205759406381284741,DA2,22,2,20
lLN2F_a_L,7205759406381284741,DA3,32,3,29
lLN2F_a_L,7205759406381284741,DA4l,21,2,19
lLN2F_a_L,7205759406381284741,DA4m,61,8,53
lLN2F_a_L,7205759406381284741,DC1,175,33,142
lLN2F_a_L,7205759406381284741,DC2,86,4,82
lLN2F_a_L,7205759406381284741,DC3,57,5,52
lLN2F_a_L,7205759406381284741,DC4,227,46,181
lLN2F_a_L,7205759406381284741,DL1,184,47,137
lLN2F_a_L,7205759406381284741,DL2d,91,16,75
lLN2F_a_L,7205759406381284741,DL2v,136,5,131
lLN2F_a_L,7205759406381284741,DL3,29,1,28
lLN2F_a_L,7205759406381284741,DL4,53,21,32
lLN2F_a_L,7205759406381284741,DL5,211,39,172
lLN2F_a_L,7205759406381284741,DM1,212,51,161
lLN2F_a_L,7205759406381284741,DM2,106,27,79
lLN2F_a_L,7205759406381284741,DM3,70,16,54
lLN2F_a_L,7205759406381284741,DM4,75,12,63
lLN2F_a_L,7205759406381284741,DM5,61,14,47
lLN2F_a_L,7205759406381284741,DM6,60,17,43
lLN2F_a_L,7205759406381284741,DP1l,181,24,157
lLN2F_a_L,7205759406381284741,DP1m,381,51,330
lLN2F_a_L,7205759406381284741,V,96,96,0
lLN2F_a_L,7205759406381284741,VA1d,50,3,47
lLN2F_a_L,7205759406381284741,VA1v,40,7,33
lLN2F_a_L,7205759406381284741,VA2,56,8,48
lLN2F_a_L,7205759406381284741,VA3,68,0,68
lLN2F_a_L,7205759406381284741,VA4,25,1,24
lLN2F_a_L,7205759406381284741,VA5,8,1,7
lLN2F_a_L,7205759406381284741,VA6,145,15,130
lLN2F_a_L,7205759406381284741,VA7l,15,5,10
lLN2F_a_L,7205759406381284741,VA7m,47,4,43
lLN2F_a_L,7205759406381284741,VC1,158,29,129
lLN2F_a_L,7205759406381284741,VC2,38,3,35
lLN2F_a_L,7205759406381284741,VC3l,50,4,46
lLN2F_a_L,7205759406381284741,VC3m,130,22,108
lLN2F_a_L,7205759406381284741,VC4,55,2,53
lLN2F_a_L,7205759406381284741,VC5,225,53,172
lLN2F_a_L,7205759406381284741,VL1,47,47,0
lLN2F_a_L,7205759406381284741,VL2a,105,5,100
lLN2F_a_L,7205759406381284741,VL2p,78,15,63
lLN2F_a_L,7205759406381284741,VM1,113,30,83
lLN2F_a_L,7205759406381284741,VM2,115,30,85
lLN2F_a_L,7205759406381284741,VM3,55,2,53
lLN2F_a_L,7205759406381284741,VM4,140,17,123
lLN2F_a_L,7205759406381284741,VM5d,197,45,152
lLN2F_a_L,7205759406381284741,VM5v,98,8,90
lLN2F_a_L,7205759406381284741,VM7d,130,23,107
lLN2F_a_L,7205759406381284741,VM7v,80,41,39
