LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2P_c_R,7205759406409556372,D,23,9,14
lLN2P_c_R,7205759406409556372,DA1,46,17,29
lLN2P_c_R,7205759406409556372,DA2,9,3,6
lLN2P_c_R,7205759406409556372,DA4l,3,0,3
lLN2P_c_R,7205759406409556372,DA4m,5,2,3
lLN2P_c_R,7205759406409556372,DC2,14,7,7
lLN2P_c_R,7205759406409556372,DC4,21,4,17
lLN2P_c_R,7205759406409556372,DL2d,1,1,0
lLN2P_c_R,7205759406409556372,DL2v,3,3,0
lLN2P_c_R,7205759406409556372,DL5,51,22,29
lLN2P_c_R,7205759406409556372,DM2,18,12,6
lLN2P_c_R,7205759406409556372,DM4,3,3,0
lLN2P_c_R,7205759406409556372,DM5,26,8,18
lLN2P_c_R,7205759406409556372,DM6,10,3,7
lLN2P_c_R,7205759406409556372,DP1l,1,0,1
lLN2P_c_R,7205759406409556372,DP1m,15,7,8
lLN2P_c_R,7205759406409556372,VA1d,6,3,3
lLN2P_c_R,7205759406409556372,VA1v,5,3,2
lLN2P_c_R,7205759406409556372,VA4,15,1,14
lLN2P_c_R,7205759406409556372,VA6,24,4,20
lLN2P_c_R,7205759406409556372,VA7l,5,1,4
lLN2P_c_R,7205759406409556372,VC2,1,0,1
lLN2P_c_R,7205759406409556372,VC3m,13,7,6
lLN2P_c_R,7205759406409556372,VC4,1,1,0
lLN2P_c_R,7205759406409556372,VC5,11,5,6
lLN2P_c_R,7205759406409556372,VL2a,7,3,4
lLN2P_c_R,7205759406409556372,VM3,12,3,9
lLN2P_c_R,7205759406409556372,VM5v,28,16,12
lLN2P_c_R,7205759406409556372,VM7v,1,0,1
