LN_instance,LN_bodyid,glomerulus,n_inputs,n_ipsi_inputs,n_contra_inputs
lLN2X11_L,7205759406602174731,D,21,1,20
lLN2X11_L,7205759406602174731,DA1,1,0,1
lLN2X11_L,7205759406602174731,DA2,27,4,23
lLN2X11_L,7205759406602174731,DA3,9,0,9
lLN2X11_L,7205759406602174731,DA4l,2,0,2
lLN2X11_L,7205759406602174731,DA4m,7,0,7
lLN2X11_L,7205759406602174731,DC1,34,3,31
lLN2X11_L,7205759406602174731,DC2,10,2,8
lLN2X11_L,7205759406602174731,DC3,11,1,10
lLN2X11_L,7205759406602174731,DC4,22,6,16
lLN2X11_L,7205759406602174731,DL1,46,9,37
lLN2X11_L,7205759406602174731,DL2d,18,1,17
lLN2X11_L,7205759406602174731,DL2v,23,1,22
lLN2X11_L,7205759406602174731,DL5,69,18,51
lLN2X11_L,7205759406602174731,DM1,26,6,20
lLN2X11_L,7205759406602174731,DM2,22,5,17
lLN2X11_L,7205759406602174731,DM3,5,1,4
lLN2X11_L,7205759406602174731,DM4,10,0,10
lLN2X11_L,7205759406602174731,DM5,3,1,2
lLN2X11_L,7205759406602174731,DM6,6,1,5
lLN2X11_L,7205759406602174731,DP1l,55,17,38
lLN2X11_L,7205759406602174731,DP1m,107,14,93
lLN2X11_L,7205759406602174731,V,6,6,0
lLN2X11_L,7205759406602174731,VA2,16,1,15
lLN2X11_L,7205759406602174731,VA3,22,0,22
lLN2X11_L,7205759406602174731,VA4,17,4,13
lLN2X11_L,7205759406602174731,VA6,48,6,42
lLN2X11_L,7205759406602174731,VA7l,7,4,3
lLN2X11_L,7205759406602174731,VA7m,21,3,18
lLN2X11_L,7205759406602174731,VC1,27,7,20
lLN2X11_L,7205759406602174731,VC2,16,2,14
lLN2X11_L,7205759406602174731,VC3l,1,0,1
lLN2X11_L,7205759406602174731,VC3m,17,0,17
lLN2X11_L,7205759406602174731,VC4,8,1,7
lLN2X11_L,7205759406602174731,VC5,84,16,68
lLN2X11_L,7205759406602174731,VL1,6,6,0
lLN2X11_L,7205759406602174731,VL2a,54,4,50
lLN2X11_L,7205759406602174731,VL2p,22,5,17
lLN2X11_L,7205759406602174731,VM1,19,3,16
lLN2X11_L,7205759406602174731,VM2,14,0,14
lLN2X11_L,7205759406602174731,VM3,7,0,7
lLN2X11_L,7205759406602174731,VM4,18,0,18
lLN2X11_L,7205759406602174731,VM5d,23,1,22
lLN2X11_L,7205759406602174731,VM5v,11,0,11
lLN2X11_L,7205759406602174731,VM7d,9,3,6
lLN2X11_L,7205759406602174731,VM7v,21,7,14
