glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,103,1567,0.06573069559668156
VP3,38,1567,0.024250159540523293
VP1d,31,1567,0.019783024888321635
D,24,1567,0.015315890236119975
VC1,15,1567,0.009572431397574984
DC1,14,1567,0.008934269304403318
VM1,14,1567,0.008934269304403318
VP1m,13,1567,0.008296107211231652
VA5,11,1567,0.007019783024888321
VA6,10,1567,0.006381620931716656
VM5d,10,1567,0.006381620931716656
VP1l,10,1567,0.006381620931716656
VP5,10,1567,0.006381620931716656
DC2,8,1567,0.005105296745373325
VC3m,8,1567,0.005105296745373325
DL5,6,1567,0.0038289725590299937
VP2,6,1567,0.0038289725590299937
DL1,5,1567,0.003190810465858328
VM7d,5,1567,0.003190810465858328
DC4,3,1567,0.0019144862795149968
MZ,2,1567,0.0012763241863433313
VA7m,2,1567,0.0012763241863433313
DA2,1,1567,0.0006381620931716656
DA4m,1,1567,0.0006381620931716656
DP1m,1,1567,0.0006381620931716656
VC2,1,1567,0.0006381620931716656
VM4,1,1567,0.0006381620931716656
VP4,1,1567,0.0006381620931716656
