glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,153,19490,0.007850179579271421
DP1m,140,19490,0.007183170856849667
DP1l,107,19490,0.005489994869163674
DL2v,89,19490,0.00456644433042586
VP1d,84,19490,0.0043099025141098
VC5,67,19490,0.0034376603386351975
VP2,58,19490,0.0029758850692662903
DM1,46,19490,0.0023601847101077478
V,43,19490,0.002206259620318112
DL1,41,19490,0.002103642893791688
VC1,41,19490,0.002103642893791688
DA1,39,19490,0.002001026167265264
DM4,36,19490,0.0018471010774756284
VP3,36,19490,0.0018471010774756284
DM3,34,19490,0.0017444843509492047
DL2d,33,19490,0.0016931759876859928
VC3l,32,19490,0.0016418676244227808
VM5d,32,19490,0.0016418676244227808
DM2,28,19490,0.0014366341713699332
VP5,28,19490,0.0014366341713699332
VM1,27,19490,0.0013853258081067215
VL2a,26,19490,0.0013340174448435095
DC3,24,19490,0.0012314007183170856
VA6,23,19490,0.0011800923550538739
VA1v,22,19490,0.001128783991790662
VM7v,22,19490,0.001128783991790662
VP1m,22,19490,0.001128783991790662
VC4,21,19490,0.00107747562852745
VM4,21,19490,0.00107747562852745
VM5v,21,19490,0.00107747562852745
DA4m,20,19490,0.001026167265264238
VC3m,20,19490,0.001026167265264238
VM2,19,19490,0.0009748589020010262
VA3,18,19490,0.0009235505387378142
VC2,18,19490,0.0009235505387378142
DC2,17,19490,0.0008722421754746024
VA4,17,19490,0.0008722421754746024
DL5,16,19490,0.0008209338122113904
VA7l,16,19490,0.0008209338122113904
DM6,15,19490,0.0007696254489481786
VL1,15,19490,0.0007696254489481786
VM3,13,19490,0.0006670087224217548
VM7d,13,19490,0.0006670087224217548
DC1,12,19490,0.0006157003591585428
VA5,12,19490,0.0006157003591585428
VP4,12,19490,0.0006157003591585428
VA7m,11,19490,0.000564391995895331
DL4,9,19490,0.0004617752693689071
DM5,9,19490,0.0004617752693689071
DA2,8,19490,0.0004104669061056952
DL3,8,19490,0.0004104669061056952
MZ,7,19490,0.0003591585428424833
D,6,19490,0.0003078501795792714
DA3,6,19490,0.0003078501795792714
DC4,5,19490,0.0002565418163160595
VA1d,4,19490,0.0002052334530528476
VP1l,3,19490,0.0001539250897896357
DA4l,2,19490,0.0001026167265264238
VA2,1,19490,5.13083632632119e-05
VL2p,1,19490,5.13083632632119e-05
