glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,212,10932,0.019392608854738383
DP1m,163,10932,0.014910354921331869
VP1d,131,10932,0.011983168679107209
DP1l,114,10932,0.010428100987925357
DL2v,91,10932,0.00832418587632638
DM1,91,10932,0.00832418587632638
DC1,74,10932,0.00676911818514453
V,71,10932,0.006494694474935968
DM4,69,10932,0.006311745334796927
DM2,68,10932,0.0062202707647274055
VA2,63,10932,0.005762897914379802
VP2,62,10932,0.005671423344310282
VM5d,59,10932,0.0053969996341017195
VC5,57,10932,0.0052140504939626785
VL2p,53,10932,0.004848152213684596
VP1m,52,10932,0.004756677643615075
DL1,50,10932,0.004573728503476033
VC3m,50,10932,0.004573728503476033
VA6,47,10932,0.004299304793267472
VA4,44,10932,0.00402488108305891
DC2,42,10932,0.0038419319429198683
DC3,42,10932,0.0038419319429198683
VC3l,40,10932,0.003658982802780827
VC4,39,10932,0.0035675082327113064
DA1,38,10932,0.0034760336626417855
DL2d,37,10932,0.003384559092572265
D,35,10932,0.0032016099524332237
DL5,35,10932,0.0032016099524332237
VL2a,33,10932,0.0030186608122941823
VM5v,31,10932,0.002835711672155141
VA7l,30,10932,0.0027442371020856204
VM7d,30,10932,0.0027442371020856204
VC2,28,10932,0.002561287961946579
VM4,28,10932,0.002561287961946579
DC4,26,10932,0.0023783388218075376
VA1v,26,10932,0.0023783388218075376
DA4m,25,10932,0.0022868642517380167
VC1,25,10932,0.0022868642517380167
DL4,24,10932,0.0021953896816684962
VA1d,23,10932,0.0021039151115989753
VA3,23,10932,0.0021039151115989753
VM2,23,10932,0.0021039151115989753
VM3,23,10932,0.0021039151115989753
VL1,21,10932,0.0019209659714599342
DM6,18,10932,0.001646542261251372
VM1,18,10932,0.001646542261251372
VA7m,16,10932,0.0014635931211123307
VM7v,16,10932,0.0014635931211123307
VP3,16,10932,0.0014635931211123307
VA5,15,10932,0.0013721185510428102
DA4l,13,10932,0.0011891694109037688
DA2,8,10932,0.0007317965605561653
DM5,8,10932,0.0007317965605561653
DL3,7,10932,0.0006403219904866448
DA3,1,10932,9.147457006952067e-05
VP1l,1,10932,9.147457006952067e-05
VP4,1,10932,9.147457006952067e-05
VP5,1,10932,9.147457006952067e-05
