glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,313,43356,0.0072193006734938645
DP1m,125,43356,0.002883107297721192
DA1,119,43356,0.002744718147430575
VP2,119,43356,0.002744718147430575
VP1m,112,43356,0.002583264138758188
DP1l,102,43356,0.0023526155549404926
VP1d,88,43356,0.002029707537595719
VP3,85,43356,0.0019605129624504104
VM7d,82,43356,0.001891318387305102
VC3l,74,43356,0.0017067995202509456
DC2,70,43356,0.0016145400867238675
DL2v,68,43356,0.0015684103699603285
VL2a,56,43356,0.001291632069379094
VA6,53,43356,0.0012224374942337855
VM7v,53,43356,0.0012224374942337855
VP5,53,43356,0.0012224374942337855
DL1,52,43356,0.0011993726358520158
DM1,52,43356,0.0011993726358520158
DM4,51,43356,0.0011763077774702463
DM3,49,43356,0.0011301780607067074
VM5d,48,43356,0.0011071132023249377
VC1,44,43356,0.0010148537687978596
VM5v,43,43356,0.0009917889104160901
DC4,41,43356,0.000945659193652551
V,41,43356,0.000945659193652551
DL2d,34,43356,0.0007842051849801643
DC1,33,43356,0.0007611403265983947
DC3,33,43356,0.0007611403265983947
DM2,31,43356,0.0007150106098348557
VM1,30,43356,0.0006919457514530861
DM6,26,43356,0.0005996863179260079
VA1v,22,43356,0.0005074268843989298
VC3m,22,43356,0.0005074268843989298
D,20,43356,0.0004612971676353907
DA2,20,43356,0.0004612971676353907
VC5,20,43356,0.0004612971676353907
VL1,19,43356,0.0004382323092536212
VP1l,19,43356,0.0004382323092536212
VA2,18,43356,0.00041516745087185166
DL3,16,43356,0.00036903773410831256
DL5,16,43356,0.00036903773410831256
DM5,16,43356,0.00036903773410831256
VA7l,16,43356,0.00036903773410831256
DL4,14,43356,0.0003229080173447735
VC2,14,43356,0.0003229080173447735
VM2,14,43356,0.0003229080173447735
VC4,13,43356,0.00029984315896300394
VA3,10,43356,0.00023064858381769535
VM3,10,43356,0.00023064858381769535
MZ,9,43356,0.00020758372543592583
VA7m,9,43356,0.00020758372543592583
DA3,6,43356,0.0001383891502906172
VA4,6,43356,0.0001383891502906172
VL2p,6,43356,0.0001383891502906172
DA4m,4,43356,9.225943352707814e-05
VM4,4,43356,9.225943352707814e-05
VA1d,2,43356,4.612971676353907e-05
DA4l,1,43356,2.3064858381769535e-05
VA5,1,43356,2.3064858381769535e-05
VP4,1,43356,2.3064858381769535e-05
