glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,336,17687,0.018997003448860746
DP1m,130,17687,0.0073500310962854075
DM1,121,17687,0.006841182789619494
DL2v,103,17687,0.005823486176287669
VP1m,101,17687,0.005710408774806355
DL2d,95,17687,0.005371176570362413
V,94,17687,0.005314637869621756
DM2,89,17687,0.005031944365918471
DP1l,89,17687,0.005031944365918471
DL1,85,17687,0.004805789562955843
DC1,82,17687,0.0046361734607338724
VC2,82,17687,0.0046361734607338724
DC3,81,17687,0.004579634759993215
VC5,80,17687,0.0045230960592525585
VA1d,75,17687,0.004240402555549273
DA1,72,17687,0.004070786453327303
VM7d,69,17687,0.0039011703511053317
VP1d,66,17687,0.0037315542488833607
D,60,17687,0.003392322044439419
VP3,59,17687,0.003335783343698762
VC3l,58,17687,0.003279244642958105
VM1,56,17687,0.003166167241476791
VP2,56,17687,0.003166167241476791
VL2p,53,17687,0.00299655113925482
DM6,49,17687,0.002770396336292192
DC2,46,17687,0.002600780234070221
VM7v,46,17687,0.002600780234070221
DL5,44,17687,0.002487702832588907
DL4,41,17687,0.0023180867303669362
VA6,41,17687,0.0023180867303669362
VM5d,39,17687,0.0022050093288856223
VA3,38,17687,0.0021484706281449653
VC1,35,17687,0.0019788545259229943
DL3,30,17687,0.0016961610222197094
VM5v,30,17687,0.0016961610222197094
DM4,27,17687,0.0015265449199977385
VP5,26,17687,0.0014700062192570815
VC4,25,17687,0.0014134675185164245
VM3,24,17687,0.0013569288177757675
VL2a,22,17687,0.0012438514162944536
VA1v,21,17687,0.0011873127155537966
MZ,18,17687,0.0010176966133318257
VA2,16,17687,0.0009046192118505117
DA4l,15,17687,0.0008480805111098547
VM2,15,17687,0.0008480805111098547
VC3m,13,17687,0.0007350031096285408
DC4,10,17687,0.0005653870074065698
VA4,8,17687,0.00045230960592525585
VP1l,7,17687,0.00039577090518459887
DA2,5,17687,0.0002826935037032849
DA4m,3,17687,0.00016961610222197094
VP4,3,17687,0.00016961610222197094
VM4,1,17687,5.653870074065698e-05
