glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,215,10512,0.020452815829528157
DP1m,127,10512,0.012081430745814307
VP1d,113,10512,0.010749619482496194
DP1l,96,10512,0.0091324200913242
DL2v,79,10512,0.007515220700152207
VP2,79,10512,0.007515220700152207
DL1,72,10512,0.00684931506849315
VC5,70,10512,0.006659056316590563
DM1,62,10512,0.005898021308980213
VM5v,58,10512,0.005517503805175038
DC1,56,10512,0.00532724505327245
DM4,52,10512,0.004946727549467275
VA6,52,10512,0.004946727549467275
VC3l,51,10512,0.0048515981735159815
DM2,50,10512,0.004756468797564688
V,50,10512,0.004756468797564688
DL5,46,10512,0.004375951293759513
VA7m,46,10512,0.004375951293759513
VC1,45,10512,0.004280821917808219
VP3,44,10512,0.004185692541856925
DA1,42,10512,0.003995433789954338
VA1v,42,10512,0.003995433789954338
DL2d,36,10512,0.003424657534246575
DC2,34,10512,0.0032343987823439876
VM3,33,10512,0.003139269406392694
VA2,31,10512,0.0029490106544901064
VL2a,31,10512,0.0029490106544901064
VM4,31,10512,0.0029490106544901064
VM1,30,10512,0.0028538812785388126
VM7d,30,10512,0.0028538812785388126
VA3,28,10512,0.002663622526636225
VM5d,27,10512,0.0025684931506849314
DA4m,24,10512,0.00228310502283105
VC4,24,10512,0.00228310502283105
D,23,10512,0.0021879756468797563
VA7l,23,10512,0.0021879756468797563
VC3m,22,10512,0.0020928462709284626
DA2,21,10512,0.001997716894977169
VL1,21,10512,0.001997716894977169
DM6,20,10512,0.001902587519025875
DM3,19,10512,0.0018074581430745813
VM7v,18,10512,0.0017123287671232876
DL4,17,10512,0.0016171993911719938
DC4,16,10512,0.0015220700152207
VA5,16,10512,0.0015220700152207
DC3,15,10512,0.0014269406392694063
DA4l,13,10512,0.0012366818873668188
VA1d,13,10512,0.0012366818873668188
VA4,11,10512,0.0010464231354642313
VC2,7,10512,0.0006659056316590563
VP1m,6,10512,0.0005707762557077625
DA3,3,10512,0.00028538812785388126
DL3,3,10512,0.00028538812785388126
DM5,3,10512,0.00028538812785388126
VM2,3,10512,0.00028538812785388126
VL2p,2,10512,0.0001902587519025875
