glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,640,6245,0.10248198558847077
DP1m,79,6245,0.01265012009607686
VL1,35,6245,0.005604483586869495
DL1,16,6245,0.0025620496397117695
VP1d,15,6245,0.0024019215372297837
DM1,14,6245,0.0022417934347477983
VC3l,13,6245,0.002081665332265813
MZ,11,6245,0.0017614091273018414
VA6,11,6245,0.0017614091273018414
D,9,6245,0.0014411529223378704
VA1d,9,6245,0.0014411529223378704
VL2a,8,6245,0.0012810248198558848
VL2p,8,6245,0.0012810248198558848
VC1,7,6245,0.0011208967173738991
DC3,6,6245,0.0009607686148919135
DA1,5,6245,0.0008006405124099279
DC1,5,6245,0.0008006405124099279
DC2,5,6245,0.0008006405124099279
VM5d,5,6245,0.0008006405124099279
DA2,4,6245,0.0006405124099279424
DM6,3,6245,0.00048038430744595676
DA4m,2,6245,0.0003202562049639712
DL2d,2,6245,0.0003202562049639712
VC3m,2,6245,0.0003202562049639712
VP4,2,6245,0.0003202562049639712
VA1v,1,6245,0.0001601281024819856
VM7d,1,6245,0.0001601281024819856
