glomerulus,weight,LN_total_connections,LN_to_PN_perct
DL1,147,5731,0.02564997382655732
mPN,102,5731,0.017797941022509162
MZ,88,5731,0.015355086372360844
DL5,71,5731,0.012388762868609317
DP1l,55,5731,0.009596928982725527
VP5,38,5731,0.0066306054789740014
DC1,26,5731,0.004536730064561159
DA4m,22,5731,0.003838771593090211
VP1m,17,5731,0.002966323503751527
VP1d,8,5731,0.001395916942941895
VL1,6,5731,0.0010469377072064212
DA1,5,5731,0.0008724480893386843
DC4,5,5731,0.0008724480893386843
DL4,4,5731,0.0006979584714709475
VP4,4,5731,0.0006979584714709475
VP1l,3,5731,0.0005234688536032106
VA6,2,5731,0.00034897923573547375
DA3,1,5731,0.00017448961786773688
DL2d,1,5731,0.00017448961786773688
DL2v,1,5731,0.00017448961786773688
DL3,1,5731,0.00017448961786773688
VM4,1,5731,0.00017448961786773688
