glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,141,1715,0.08221574344023323
DP1m,46,1715,0.026822157434402333
DC4,13,1715,0.007580174927113703
VP5,8,1715,0.004664723032069971
DP1l,7,1715,0.004081632653061225
DM3,6,1715,0.003498542274052478
DL5,5,1715,0.0029154518950437317
D,4,1715,0.0023323615160349854
DM1,4,1715,0.0023323615160349854
DC1,3,1715,0.001749271137026239
V,3,1715,0.001749271137026239
VA2,3,1715,0.001749271137026239
VM5d,3,1715,0.001749271137026239
VM7d,3,1715,0.001749271137026239
VP2,3,1715,0.001749271137026239
DC2,2,1715,0.0011661807580174927
DL2v,2,1715,0.0011661807580174927
DM2,2,1715,0.0011661807580174927
VA4,2,1715,0.0011661807580174927
VC3m,2,1715,0.0011661807580174927
VC4,2,1715,0.0011661807580174927
DC3,1,1715,0.0005830903790087463
DL1,1,1715,0.0005830903790087463
DM4,1,1715,0.0005830903790087463
DM6,1,1715,0.0005830903790087463
VA7l,1,1715,0.0005830903790087463
VC3l,1,1715,0.0005830903790087463
VM1,1,1715,0.0005830903790087463
VM3,1,1715,0.0005830903790087463
VP1d,1,1715,0.0005830903790087463
VP1l,1,1715,0.0005830903790087463
VP1m,1,1715,0.0005830903790087463
VP4,1,1715,0.0005830903790087463
