glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,119,3707,0.032101429727542485
VC4,13,3707,0.003506878877798759
DL2v,12,3707,0.0032371189641219314
VC3l,11,3707,0.002967359050445104
DL1,10,3707,0.002697599136768276
DM1,10,3707,0.002697599136768276
DL2d,8,3707,0.002158079309414621
D,7,3707,0.0018883193957377933
DM6,7,3707,0.0018883193957377933
DP1m,7,3707,0.0018883193957377933
DA4m,6,3707,0.0016185594820609657
VA2,4,3707,0.0010790396547073105
VL2a,3,3707,0.0008092797410304828
VM7d,3,3707,0.0008092797410304828
DC2,1,3707,0.0002697599136768276
DC3,1,3707,0.0002697599136768276
DM2,1,3707,0.0002697599136768276
DM4,1,3707,0.0002697599136768276
VA3,1,3707,0.0002697599136768276
VA6,1,3707,0.0002697599136768276
VA7l,1,3707,0.0002697599136768276
VC1,1,3707,0.0002697599136768276
VM3,1,3707,0.0002697599136768276
VM7v,1,3707,0.0002697599136768276
