glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,500,15596,0.03205950243652218
DP1m,247,15596,0.01583739420364196
DM1,92,15596,0.005898948448320082
DP1l,74,15596,0.004744806360605283
DC1,70,15596,0.004488330341113106
V,52,15596,0.003334188253398307
DM4,42,15596,0.0026929982046678637
DA1,34,15596,0.0021800461656835087
VL2p,31,15596,0.0019876891510643754
VP1m,30,15596,0.001923570146191331
DC3,27,15596,0.001731213131572198
VC3m,26,15596,0.0016670941266991536
DL2v,24,15596,0.001538856116953065
DL4,24,15596,0.001538856116953065
VC5,24,15596,0.001538856116953065
VP2,24,15596,0.001538856116953065
DL5,21,15596,0.0013464991023339318
VM7d,21,15596,0.0013464991023339318
VM1,20,15596,0.0012823800974608873
VC4,19,15596,0.001218261092587843
DM6,18,15596,0.0011541420877147987
VA6,18,15596,0.0011541420877147987
VA2,17,15596,0.0010900230828417544
DM2,16,15596,0.0010259040779687098
VA3,16,15596,0.0010259040779687098
VA7m,16,15596,0.0010259040779687098
VM5d,16,15596,0.0010259040779687098
VP1d,16,15596,0.0010259040779687098
VA1v,14,15596,0.0008976660682226212
VM3,14,15596,0.0008976660682226212
DC2,13,15596,0.0008335470633495768
DC4,13,15596,0.0008335470633495768
DL2d,13,15596,0.0008335470633495768
DL1,12,15596,0.0007694280584765325
DM5,12,15596,0.0007694280584765325
VM7v,12,15596,0.0007694280584765325
VA4,11,15596,0.0007053090536034881
VC3l,10,15596,0.0006411900487304436
VL2a,10,15596,0.0006411900487304436
VP3,9,15596,0.0005770710438573993
VC1,8,15596,0.0005129520389843549
VM5v,8,15596,0.0005129520389843549
D,7,15596,0.0004488330341113106
DL3,6,15596,0.00038471402923826624
VA1d,5,15596,0.0003205950243652218
VA7l,4,15596,0.00025647601949217746
VP1l,4,15596,0.00025647601949217746
VA5,2,15596,0.00012823800974608873
VC2,2,15596,0.00012823800974608873
VP5,2,15596,0.00012823800974608873
DA2,1,15596,6.411900487304436e-05
DA3,1,15596,6.411900487304436e-05
VM2,1,15596,6.411900487304436e-05
VM4,1,15596,6.411900487304436e-05
