glomerulus,weight,LN_total_connections,LN_to_PN_perct
DA1,793,7632,0.10390461215932914
DL3,466,7632,0.06105870020964361
VA1d,393,7632,0.0514937106918239
VA1v,357,7632,0.046776729559748424
mPN,328,7632,0.0429769392033543
D,174,7632,0.02279874213836478
DC3,105,7632,0.013757861635220126
DM6,102,7632,0.013364779874213837
MZ,86,7632,0.011268343815513627
VL2a,64,7632,0.008385744234800839
DA4l,38,7632,0.004979035639412998
DL1,36,7632,0.0047169811320754715
DA4m,28,7632,0.003668763102725367
VA5,8,7632,0.0010482180293501049
VA6,6,7632,0.0007861635220125787
VL2p,6,7632,0.0007861635220125787
DL2d,4,7632,0.0005241090146750524
DL5,4,7632,0.0005241090146750524
DL4,3,7632,0.00039308176100628933
DM3,3,7632,0.00039308176100628933
VP1d,3,7632,0.00039308176100628933
DA2,1,7632,0.0001310272536687631
DM2,1,7632,0.0001310272536687631
