glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,479,10679,0.0448543871148984
VP2,122,10679,0.011424290663919843
DP1m,116,10679,0.010862440303399194
VP1d,116,10679,0.010862440303399194
DM1,102,10679,0.009551456128851016
DP1l,86,10679,0.008053188500795954
DM2,78,10679,0.007304054686768424
DC1,69,10679,0.006461279145987452
VA6,60,10679,0.00561850360520648
V,55,10679,0.005150294971439273
DL2d,50,10679,0.004682086337672067
DM4,49,10679,0.004588444610918625
DL2v,48,10679,0.004494802884165184
VA2,48,10679,0.004494802884165184
VC4,46,10679,0.004307519430658302
VP3,46,10679,0.004307519430658302
VC3l,45,10679,0.00421387770390486
VC5,44,10679,0.004120235977151419
VM5d,40,10679,0.003745669070137653
VC1,39,10679,0.003652027343384212
DC4,38,10679,0.0035583856166307706
VL2a,38,10679,0.0035583856166307706
DL1,37,10679,0.0034647438898773295
VM4,37,10679,0.0034647438898773295
VM5v,35,10679,0.0032774604363704466
DA4m,34,10679,0.0031838187096170055
VM7d,33,10679,0.003090176982863564
D,32,10679,0.0029965352561101225
VM3,29,10679,0.0027156100758497985
VA7l,26,10679,0.002434684895589475
VP1m,26,10679,0.002434684895589475
VP5,26,10679,0.002434684895589475
VM1,24,10679,0.002247401442082592
VA3,22,10679,0.0020601179885757093
VA7m,22,10679,0.0020601179885757093
DL4,21,10679,0.001966476261822268
DM3,20,10679,0.0018728345350688266
DC3,19,10679,0.0017791928083153853
VM7v,19,10679,0.0017791928083153853
DC2,17,10679,0.0015919093548085027
VA5,17,10679,0.0015919093548085027
DA1,16,10679,0.0014982676280550613
DA2,16,10679,0.0014982676280550613
VA4,16,10679,0.0014982676280550613
DL5,15,10679,0.00140462590130162
VL1,15,10679,0.00140462590130162
VC3m,14,10679,0.0013109841745481787
DA4l,13,10679,0.0012173424477947374
VC2,12,10679,0.001123700721041296
DM6,6,10679,0.000561850360520648
VP1l,6,10679,0.000561850360520648
DM5,5,10679,0.00046820863376720664
VP4,5,10679,0.00046820863376720664
VM2,3,10679,0.000280925180260324
DL3,2,10679,0.00018728345350688266
VA1v,2,10679,0.00018728345350688266
