glomerulus,weight,LN_total_connections,LN_to_PN_perct
DP1m,271,14142,0.019162777542073257
mPN,224,14142,0.01583934379861406
DA1,191,14142,0.013505869042568236
VC5,173,14142,0.012233064630179607
DP1l,127,14142,0.00898034224296422
VM5d,117,14142,0.008273228680526093
DM2,86,14142,0.0060811766369678975
DC1,77,14142,0.005444774430773582
DL2v,75,14142,0.005303351718285956
VA6,75,14142,0.005303351718285956
DM1,69,14142,0.00487908358082308
DL1,68,14142,0.0048083722245792675
VM1,68,14142,0.0048083722245792675
VM7d,67,14142,0.004737660868335455
DM4,66,14142,0.004666949512091642
VC1,66,14142,0.004666949512091642
DL5,61,14142,0.004313392730872578
DL2d,54,14142,0.003818413237165889
VA3,54,14142,0.003818413237165889
DM6,52,14142,0.0036769905246782633
VA2,52,14142,0.0036769905246782633
DC2,48,14142,0.0033941450997030122
VP1d,47,14142,0.0033234337434591994
VC3l,39,14142,0.0027577428935086977
VM5v,39,14142,0.0027577428935086977
D,35,14142,0.0024748974685334466
V,35,14142,0.0024748974685334466
VA1v,35,14142,0.0024748974685334466
VA7m,34,14142,0.0024041861122896338
VC4,34,14142,0.0024041861122896338
DM3,33,14142,0.002333474756045821
VP2,31,14142,0.0021920520435581956
VL2a,28,14142,0.0019799179748267574
DL3,26,14142,0.0018384952623391316
VC3m,25,14142,0.001767783906095319
VL1,25,14142,0.001767783906095319
VM4,25,14142,0.001767783906095319
VA4,24,14142,0.0016970725498515061
VA5,24,14142,0.0016970725498515061
VA7l,24,14142,0.0016970725498515061
DC3,22,14142,0.0015556498373638806
VC2,21,14142,0.001484938481120068
VP1m,18,14142,0.0012728044123886295
VP3,17,14142,0.0012020930561448169
VA1d,14,14142,0.0009899589874133787
VM3,14,14142,0.0009899589874133787
VM7v,14,14142,0.0009899589874133787
DA4l,11,14142,0.0007778249186819403
VM2,11,14142,0.0007778249186819403
DA2,9,14142,0.0006364022061943148
DM5,8,14142,0.000565690849950502
DA4m,7,14142,0.0004949794937066893
DC4,6,14142,0.00042426813746287653
DL4,6,14142,0.00042426813746287653
VP1l,2,14142,0.0001414227124876255
VP5,2,14142,0.0001414227124876255
DA3,1,14142,7.071135624381275e-05
