glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,585,19814,0.029524578580801455
DA1,105,19814,0.0052992833350156456
VA1v,91,19814,0.004592712223680226
D,77,19814,0.0038861411123448067
VM1,77,19814,0.0038861411123448067
DL1,71,19814,0.003583324921772484
VL2p,62,19814,0.0031291006359140004
DP1m,61,19814,0.0030786312708186133
MZ,58,19814,0.002927223175532452
VL2a,51,19814,0.002573937619864742
DM1,50,19814,0.002523468254769355
DP1l,49,19814,0.002472998889673968
VC3m,46,19814,0.0023215907943878065
DC2,44,19814,0.0022206520641970323
DM2,44,19814,0.0022206520641970323
VA1d,40,19814,0.002018774603815484
VC2,37,19814,0.0018673665085293227
VA4,34,19814,0.0017159584132431613
VC1,34,19814,0.0017159584132431613
DC3,32,19814,0.001615019683052387
DM6,32,19814,0.001615019683052387
VM4,32,19814,0.001615019683052387
DM4,30,19814,0.001514080952861613
VA6,30,19814,0.001514080952861613
DC1,27,19814,0.0013626728575754517
VA2,26,19814,0.0013122034924800646
VA3,24,19814,0.0012112647622892904
VA5,23,19814,0.0011607953971939033
VC4,22,19814,0.0011103260320985161
VM7d,21,19814,0.001059856667003129
VP1d,20,19814,0.001009387301907742
DL2v,19,19814,0.0009589179368123549
VC5,16,19814,0.0008075098415261935
VM5d,16,19814,0.0008075098415261935
VC3l,15,19814,0.0007570404764308065
DL5,14,19814,0.0007065711113354194
VA7l,14,19814,0.0007065711113354194
VM3,14,19814,0.0007065711113354194
DA2,13,19814,0.0006561017462400323
VA7m,12,19814,0.0006056323811446452
VM7v,8,19814,0.0004037549207630968
DL2d,7,19814,0.0003532855556677097
DA4m,6,19814,0.0003028161905723226
DM5,6,19814,0.0003028161905723226
DC4,3,19814,0.0001514080952861613
VM2,3,19814,0.0001514080952861613
VM5v,3,19814,0.0001514080952861613
VP5,2,19814,0.0001009387301907742
VL1,1,19814,5.04693650953871e-05
VP2,1,19814,5.04693650953871e-05
VP4,1,19814,5.04693650953871e-05
