glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,536,14577,0.03677025451053029
VL2a,79,14577,0.005419496467037113
D,73,14577,0.0050078891404266995
DP1m,64,14577,0.004390478150511079
DL2v,59,14577,0.004047472045002401
DM1,44,14577,0.003018453728476367
DL1,43,14577,0.0029498525073746312
DM6,39,14577,0.002675447622967689
DP1l,35,14577,0.0024010427385607463
VC5,35,14577,0.0024010427385607463
VM7d,35,14577,0.0024010427385607463
DM2,31,14577,0.002126637854153804
VA6,30,14577,0.0020580366330520683
VC1,30,14577,0.0020580366330520683
DC2,29,14577,0.0019894354119503327
DC4,29,14577,0.0019894354119503327
DM4,26,14577,0.0017836317486451259
DL5,25,14577,0.0017150305275433902
VM1,24,14577,0.0016464293064416546
DC1,22,14577,0.0015092268642381834
DA4m,20,14577,0.0013720244220347122
VC4,18,14577,0.001234821979831241
DM3,16,14577,0.0010976195376277698
VA5,16,14577,0.0010976195376277698
DA2,15,14577,0.0010290183165260341
VM5d,14,14577,0.0009604170954242985
VC3m,13,14577,0.0008918158743225629
VA7l,12,14577,0.0008232146532208273
VC2,11,14577,0.0007546134321190917
DL2d,10,14577,0.0006860122110173561
VA2,10,14577,0.0006860122110173561
VA3,10,14577,0.0006860122110173561
VM5v,9,14577,0.0006174109899156205
VM4,8,14577,0.0005488097688138849
VM7v,8,14577,0.0005488097688138849
VA4,7,14577,0.00048020854771214927
VL2p,6,14577,0.00041160732661041366
VM3,5,14577,0.00034300610550867805
VC3l,4,14577,0.00027440488440694244
VP2,3,14577,0.00020580366330520683
DM5,2,14577,0.00013720244220347122
VM2,2,14577,0.00013720244220347122
VP1d,2,14577,0.00013720244220347122
