glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,702,7326,0.09582309582309582
DP1m,42,7326,0.005733005733005733
DL3,39,7326,0.005323505323505323
V,33,7326,0.0045045045045045045
MZ,30,7326,0.004095004095004095
DA1,18,7326,0.002457002457002457
VA1v,18,7326,0.002457002457002457
VM4,10,7326,0.001365001365001365
VA6,9,7326,0.0012285012285012285
DA4l,7,7326,0.0009555009555009555
DL2v,7,7326,0.0009555009555009555
VA2,6,7326,0.000819000819000819
VM1,6,7326,0.000819000819000819
VC2,5,7326,0.0006825006825006825
VC5,4,7326,0.000546000546000546
VA1d,3,7326,0.0004095004095004095
VC3l,3,7326,0.0004095004095004095
VL2a,3,7326,0.0004095004095004095
DC4,2,7326,0.000273000273000273
VA5,2,7326,0.000273000273000273
VC4,2,7326,0.000273000273000273
VP2,2,7326,0.000273000273000273
DC3,1,7326,0.0001365001365001365
DM4,1,7326,0.0001365001365001365
VM5v,1,7326,0.0001365001365001365
