glomerulus,weight,LN_total_connections,LN_to_PN_perct
mPN,426,7776,0.05478395061728395
DA1,104,7776,0.013374485596707819
VA6,86,7776,0.011059670781893004
VM3,82,7776,0.010545267489711935
DP1m,73,7776,0.009387860082304527
DL2v,65,7776,0.008359053497942387
VM1,62,7776,0.007973251028806584
VC5,52,7776,0.006687242798353909
VL2p,50,7776,0.006430041152263375
VP1m,46,7776,0.0059156378600823045
DM5,42,7776,0.005401234567901234
VA7l,26,7776,0.0033436213991769547
DM2,24,7776,0.0030864197530864196
DM6,21,7776,0.002700617283950617
DM4,18,7776,0.0023148148148148147
VP2,18,7776,0.0023148148148148147
DA4m,16,7776,0.00205761316872428
VL2a,13,7776,0.0016718106995884773
VM5d,13,7776,0.0016718106995884773
VL1,10,7776,0.001286008230452675
VM2,10,7776,0.001286008230452675
VA2,6,7776,0.0007716049382716049
VA5,6,7776,0.0007716049382716049
VP5,6,7776,0.0007716049382716049
DC1,5,7776,0.0006430041152263374
VP1d,5,7776,0.0006430041152263374
DC2,4,7776,0.00051440329218107
MZ,4,7776,0.00051440329218107
VA1d,4,7776,0.00051440329218107
V,3,7776,0.00038580246913580245
VM7d,3,7776,0.00038580246913580245
VP1l,3,7776,0.00038580246913580245
DA3,2,7776,0.000257201646090535
VC3m,2,7776,0.000257201646090535
DL1,1,7776,0.0001286008230452675
VA7m,1,7776,0.0001286008230452675
VM5v,1,7776,0.0001286008230452675
VP4,1,7776,0.0001286008230452675
